"pid","location","totval"
1,"165 CHURCH STNEW HAVEN, CT 06510",1237500
2,"165 CHURCH STNEW HAVEN, CT 06510",553600
3,"199 SOUTH END RDNEW HAVEN, CT 06512",197900
4,"11 URIAH STNEW HAVEN, CT 06512",206000
5,"181 SOUTH END RDNEW HAVEN, CT 06512",155400
6,"169 SOUTH END ROADNEW HAVEN, CT 06512",140800
7,"173 SOUTH END RDNEW HAVEN, CT 06512",185500
8,"165 SOUTH END RDNEW HAVEN, CT 06511",132000
9,"161  SOUTH END RDNEW HAVEN, CT 06512",133100
10,"157 SOUTH END RDNEW HAVEN, CT 06511",126000
11,"165 CHURCH STNEW HAVEN, CT 06510",58000
12,"165 CHURCH STNEW HAVEN, CT 06510",191800
13,"165 CHURCH STNEW HAVEN, CT 06510",62000
14,"165 CHURCH STNEW HAVEN, CT 06510",54500
15,"165 CHURCH STNEW HAVEN, CT 06510",58600
16,"165 CHURCH STNEW HAVEN, CT 06510",3200
17,"165 CHURCH STNEW HAVEN, CT 06510",62000
18,"165 CHURCH STNEW HAVEN, CT 06510",59300
19,"165 CHURCH STNEW HAVEN, CT 06510",68700
20,"165 CHURCH STNEW HAVEN, CT 06510",2621500
21,"165 CHURCH STNEW HAVEN, CT 06510",325600
22,"165 CHURCH STNEW HAVEN, CT 06510",814100
23,"5 DOUGLASS AVENEW HAVEN, CT 06512",179200
24,"11 DOUGLASS AVENEW HAVEN, CT 06512",239100
25,"17 DOUGLASS AVNEW HAVEN, CT 06511",124400
26,"23 DOUGLASS AVENEW HAVEN, CT 06512",123400
27,"29 DOUGLASS AVNEW HAVEN, CT 06512",166300
28,"165 CHURCH STNEW HAVEN, CT 06510",58800
29,"24 URIAH STNEW HAVEN, CT 06512",150000
30,"20 URIAH STNEW HAVEN, CT 06512",159800
31,"1  TOWNSEND AVNEW HAVEN, CT 06512",154500
32,"1 TOWNSEND AVNEW HAVEN, CT 06512",162500
33,"1B TOWNSEND AVENEW HAVEN, CT 06512",188700
34,"9 TOWNSEND AVNEW HAVEN, CT 06512",177000
35,"17 JOHNSTON STNEW HAVEN, CT 06512",160200
36,"43 TOLLI TERNEW HAVEN, CT 06512",148400
37,"24 DOUGLASS AVNEW HAVEN, CT 06512",182600
38,"20 DOUGLASS AVNEW HAVEN, CT 06511",176300
39,"3 TOWNSEND AVNEW HAVEN, CT 06512",243200
40,"3 1/2 TOWNSEND AVNEW HAVEN, CT 06512",150600
41,"5 TOWNSEND AVNEW HAVEN, CT 06512",160500
42,"7 TOWNSEND AVNEW HAVEN, CT 06511",189400
43,"165 CHURCH STNEW HAVEN, CT 06510",3256500
44,"165 CHURCH STNEW HAVEN, CT 06510",5887800
45,"165 CHURCH STNEW HAVEN, CT 06510",61200
46,"984 ROUTE 9 SUITE A9PARLIN, NJ 08859",340500
47,"19 MORRIS CSWYNEW HAVEN, CT 06512",173000
48,"25 MORRIS CAUSEWAYNEW HAVEN, CT 06512",182300
49,"31 MORRIS CSWYNEW HAVEN, CT 06511",171900
50,"39 MORRIS CSWYNEW HAVEN, CT 06512",145800
51,"345 EAST SHORE PKWYNEW HAVEN, CT 06512",155100
52,"345 EAST SHORE PARKWAYNEW HAVEN, CT 06510",2889600
53,"11  TOWNSEND AVNEW HAVEN, CT 06512",167500
54,"13 TOWNSEND AVNEW HAVEN, CT 06512",166800
55,"15  TOWNSEND AVNEW HAVEN, CT 06512",165600
56,"17 TOWNSEND AVNEW HAVEN, CT 06512",142700
57,"19 TOWNSEND AVNEW HAVEN, CT 06512",153800
58,"21 TOWNSEND AVNEW HAVEN, CT 06512",155400
59,"265 LIGHTHOUSE RDNEW HAVEN, CT 06512",5400
60,"1227 DEAN STNEW HAVEN, CT 06511",3200
61,"1236 DEAN STNEW HAVEN, CT 06512",3200
62,"1254 DEAN STNEW HAVEN, CT 06512",3200
63,"1254 DEAN STNEW HAVEN, CT 06512",3200
64,"1274 DEAN STNEW HAVEN, CT 06512",3900
65,"1264 DEAN STNEW HAVEN, CT 06512",2100
66,"1284 DEAN STREETNEW HAVEN, CT 06512",2100
67,"1340 DEAN STNEW HAVEN, CT 06511",5700
68,"1366 DEAN STNEW HAVEN, CT 06512",5700
69,"165 CHURCH STNEW HAVEN, CT 06510",1180800
70,"165 CHURCH STNEW HAVEN, CT 06510",394000
71,"165 CHURCH STNEW HAVEN, CT 06510",852600
72,"165 CHURCH STNEW HAVEN, CT 06510",1266900
73,"165 CHURCH STNEW HAVEN, CT 06510",900
74,"23 MULLIGAN DRWALLINGFORD, CT 06492",620
75,"23 MULLIGAN DR WALLINFORD, CT 06492",340
76,"23 MULLIGAN DR WALLINGFORD, CT 06492",410
77,"C/O HERMAN DOSTIE23 MULLIGAN DRWALLINGFORD, CT 06492",263500
78,"23 MULLIGAN DR WALLINGFORD, CT 06492",286500
79,"23 MULLIGAN DRWALLINGFORD, CT 06492",298400
80,"23 MULLIGAN DR WALLINGFORD, CT 06492",312700
81,"23 MULLIGAN DRWALLINGFORD, CT 06492",344100
82,"23 MULLIGAN DRWALLINGFORD, CT 06492",287200
83,"392 BURR STNEW HAVEN, CT 06512",129200
84,"384 BURR STNEW HAVEN, CT 06512",124600
85,"374 BURR STNEW HAVEN, CT 06512",125000
86,"366 BURR STNEW HAVEN, CT 06512",128100
87,"22 CONIFER DRHAMDEN, CT 06518",131600
88,"354  BURR STNEW HAVEN, CT 06512",141700
89,"348 BURR STNEW HAVEN, CT 06512",155700
90,"165 CHURCH STNEW HAVEN, CT 06510",4500
91,"165 CHURCH STNEW HAVEN, CT 06511",66100
92,"340 BURR STNEW HAVEN, CT 06512",145700
93,"336 BURR STNEW HAVEN, CT 06512",181500
94,"330 BURR STNEW HAVEN, CT 06512",152700
95,"320 BURR STNEW HAVEN, CT 06512",159200
96,"310 BURR STNEW HAVEN, CT 06512",170700
97,"175 TOWNSEND TERNEW HAVEN, CT 06512",287900
98,"155 TOWNSEND TERRNEW HAVEN, CT 06512",320300
99,"147 TOWNSEND TERRACENEW HAVEN, CT 06512",243200
100,"135 TOWNSEND TERNEW HAVEN, CT 06512",197300
101,"215 HYDE STNEW HAVEN, CT 06512",207500
102,"223 HYDE STREETNEW HAVEN, CT 06512",161300
103,"235 HYDE STNEW HAVEN, CT 06512",224000
104,"118 TOWNSEND TERNEW HAVEN, CT 06512",243100
105,"126 TOWNSEND TERNEW HAVEN, CT 06512",173000
106,"132 TOWNSEND TERRNEW HAVEN, CT 06512",178000
107,"140 TOWNSEND TERNEW HAVEN, CT 06512",183900
108,"144 TOWNSEND TERNEW HAVEN, CT 06512",170900
109,"150 TOWNSEND TERRNEW HAVEN, CT 06512",163400
