pid,location,totval
1,165 CHURCH ST,1237500
2,165 CHURCH ST,553600
3,199 SOUTH END RD,197900
4,11 URIAH ST,206000
5,181 SOUTH END RD,155400
6,169 SOUTH END ROAD,140800
7,173 SOUTH END RD,185500
8,165 SOUTH END RD,132000
9,161  SOUTH END RD,133100
10,157 SOUTH END RD,126000
11,165 CHURCH ST,58000
12,165 CHURCH ST,191800
13,165 CHURCH ST,62000
14,165 CHURCH ST,54500
15,165 CHURCH ST,58600
16,165 CHURCH ST,3200
17,165 CHURCH ST,62000
18,165 CHURCH ST,59300
19,165 CHURCH ST,68700
20,165 CHURCH ST,2621500
21,165 CHURCH ST,325600
22,165 CHURCH ST,814100
23,5 DOUGLASS AVE,179200
24,11 DOUGLASS AVE,239100
25,17 DOUGLASS AV,124400
26,23 DOUGLASS AVE,123400
27,29 DOUGLASS AV,166300
28,165 CHURCH ST,58800
29,24 URIAH ST,150000
30,20 URIAH ST,159800
31,1  TOWNSEND AV,154500
32,1 TOWNSEND AV,162500
33,1B TOWNSEND AVE,188700
34,9 TOWNSEND AV,177000
35,17 JOHNSTON ST,160200
36,43 TOLLI TER,148400
37,24 DOUGLASS AV,182600
38,20 DOUGLASS AV,176300
39,3 TOWNSEND AV,243200
40,3 1/2 TOWNSEND AV,150600
41,5 TOWNSEND AV,160500
42,7 TOWNSEND AV,189400
43,165 CHURCH ST,3256500
44,165 CHURCH ST,5887800
45,165 CHURCH ST,61200
46,"984 ROUTE 9 SUITE A9PARLIN, NJ 08859",340500
47,19 MORRIS CSWY,173000
48,25 MORRIS CAUSEWAY,182300
49,31 MORRIS CSWY,171900
50,39 MORRIS CSWY,145800
51,345 EAST SHORE PKWY,155100
52,345 EAST SHORE PARKWAY,2889600
53,11  TOWNSEND AV,167500
54,13 TOWNSEND AV,166800
55,15  TOWNSEND AV,165600
56,17 TOWNSEND AV,142700
57,19 TOWNSEND AV,153800
58,21 TOWNSEND AV,155400
59,265 LIGHTHOUSE RD,5400
60,1227 DEAN ST,3200
61,1236 DEAN ST,3200
62,1254 DEAN ST,3200
63,1254 DEAN ST,3200
64,1274 DEAN ST,3900
65,1264 DEAN ST,2100
66,1284 DEAN STREET,2100
67,1340 DEAN ST,5700
68,1366 DEAN ST,5700
69,165 CHURCH ST,1180800
70,165 CHURCH ST,394000
71,165 CHURCH ST,852600
72,165 CHURCH ST,1266900
73,165 CHURCH ST,900
