"pid","location","totval"
1,"51 SOUTH END RD",1237500
2,"75 SOUTH END RD",553600
3,"199 SOUTH END RD",197900
4,"11 URIAH ST",206000
5,"181 SOUTH END RD",155400
6,"169 SOUTH END RD",140800
7,"173 SOUTH END RD",185500
8,"165 SOUTH END RD",132000
9,"161 SOUTH END RD",133100
10,"157 SOUTH END RD",126000
11,"153 SOUTH END RD",58000
12,"SOUTH END RD",191800
13,"107 SOUTH END RD",62000
14,"101 SOUTH END RD",54500
15,"95 SOUTH END RD",58600
16,"SOUTH END RD",3200
17,"91 SOUTH END RD",62000
18,"103 SOUTH END RD",59300
19,"SOUTH END RD",68700
20,"URIAH ST",2621500
21,"SOUTH END RD",325600
22,"SOUTH END RD",814100
23,"5 DOUGLASS AV",179200
24,"11 DOUGLASS AV",239100
25,"17 DOUGLASS AV",124400
26,"23 DOUGLASS AV",123400
27,"29 DOUGLASS AV",166300
28,"32 URIAH ST",58800
29,"24 URIAH ST",150000
30,"20 URIAH ST",159800
31,"1 TOWNSEND AV",154500
32,"1 TOWNSEND AV #A",162500
33,"1 TOWNSEND AV #B",188700
34,"9 TOWNSEND AV",177000
35,"17 JOHNSTON ST",160200
36,"30 DOUGLASS AV",148400
37,"24 DOUGLASS AV",182600
38,"20 DOUGLASS AV",176300
39,"3 TOWNSEND AV",243200
40,"3A TOWNSEND AV",150600
41,"5 TOWNSEND AV",160500
42,"7 TOWNSEND AV",189400
43,"MORRIS CSWY",3256500
44,"URIAH ST",5887800
45,"MORRIS CSWY",61200
46,"25 TOWNSEND AV",340500
47,"19 MORRIS CSWY",173000
48,"25 MORRIS CSWY",182300
49,"31 MORRIS CSWY",171900
50,"39 MORRIS CSWY",145800
51,"43 MORRIS CSWY",155100
52,"49 MORRIS CSWY",2889600
53,"11 TOWNSEND AV",167500
54,"13 TOWNSEND AV",166800
55,"15 TOWNSEND AV",165600
56,"17 TOWNSEND AV",142700
57,"19 TOWNSEND AV",153800
58,"21 TOWNSEND AV",155400
59,"1209 DEAN ST",5400
60,"1227 DEAN ST",3200
61,"1237 DEAN ST",3200
62,"1251 DEAN ST",3200
63,"DEAN ST",3200
64,"1271 DEAN ST",3900
65,"DEAN ST",2100
66,"1285 DEAN ST",2100
67,"1305 DEAN ST",5700
68,"1327 DEAN ST",5700
69,"191 BURR ST",1180800
70,"269 BURR ST",394000
71,"353 BURR ST",852600
72,"425 DODGE AV",1266900
73,"392 BURR ST",900
74,"400 BURR ST #1",620
75,"400 BURR ST #2",340
76,"400 BURR ST #3",410
77,"396 BURR ST #4",263500
78,"400 BURR ST #5",286500
79,"400 BURR ST #6",298400
80,"400 BURR ST #7",312700
81,"400 BURR ST #8",344100
82,"400 BURR ST #9",287200
83,"392 BURR ST",129200
84,"384 BURR ST",124600
85,"374 BURR ST",125000
86,"366 BURR ST",128100
87,"360 BURR ST",131600
88,"354 BURR ST",141700
89,"348 BURR ST",155700
90,"344 BURR ST",4500
91,"342 BURR ST",66100
92,"340 BURR ST",145700
93,"336 BURR ST",181500
94,"330 BURR ST",152700
95,"320 BURR ST",159200
96,"310 BURR ST",170700
97,"175 TOWNSEND TER",287900
98,"155 TOWNSEND TER",320300
99,"147 TOWNSEND TER",243200
100,"135 TOWNSEND TER",197300
101,"215 HYDE ST",207500
102,"223 HYDE ST",161300
103,"235 HYDE ST",224000
104,"118 TOWNSEND TER",243100
105,"126 TOWNSEND TER",173000
106,"132 TOWNSEND TER",178000
107,"140 TOWNSEND TER",183900
108,"144 TOWNSEND TER",170900
109,"150 TOWNSEND TER",163400
110,"158 TOWNSEND TER",206000
111,"164 TOWNSEND TER",201900
112,"168 TOWNSEND TER",196500
113,"172 TOWNSEND TER",219400
114,"176 TOWNSEND TER",184700
115,"400 BURR ST",2100
116,"393 BURR ST",152300
117,"15 HOLMES ST",58600
118,"25 HOLMES ST",102700
119,"437 BURR ST",131500
120,"427 BURR ST",165100
