"pid","location","totval","bedrooms","bathrooms","halfbaths"
1,"51 SOUTH END RD","1237500","","",""
2,"75 SOUTH END RD","553600","","",""
3,"199 SOUTH END RD","197900","3","2","1"
4,"11 URIAH ST","206000","3","2","1"
5,"181 SOUTH END RD","155400","3","1","0"
6,"169 SOUTH END RD","140800","3","1","0"
7,"173 SOUTH END RD","185500","5","2","0"
8,"165 SOUTH END RD","132000","3","1","1"
9,"161 SOUTH END RD","133100","2","1","0"
10,"157 SOUTH END RD","126000","1","1","0"
11,"153 SOUTH END RD","58000","","",""
12,"SOUTH END RD","191800","","",""
13,"107 SOUTH END RD","62000","","",""
14,"101 SOUTH END RD","54500","","",""
15,"95 SOUTH END RD","58600","","",""
16,"SOUTH END RD","3200","","",""
17,"91 SOUTH END RD","62000","","",""
18,"103 SOUTH END RD","59300","","",""
19,"SOUTH END RD","68700","","",""
20,"URIAH ST","2621500","","",""
21,"SOUTH END RD","325600","","",""
22,"SOUTH END RD","814100","","",""
23,"5 DOUGLASS AV","179200","2","1","1"
24,"11 DOUGLASS AV","239100","3","2","0"
25,"17 DOUGLASS AV","124400","2","1","0"
26,"23 DOUGLASS AV","123400","2","1","0"
27,"29 DOUGLASS AV","166300","4","1","0"
28,"32 URIAH ST","58800","","",""
29,"24 URIAH ST","150000","3","1","0"
30,"20 URIAH ST","159800","3","1","0"
31,"1 TOWNSEND AV","154500","2","1","0"
32,"1 TOWNSEND AV #A","162500","2","1","0"
33,"1 TOWNSEND AV #B","188700","3","1","1"
34,"9 TOWNSEND AV","177000","3","1","1"
35,"17 JOHNSTON ST","160200","3","1","1"
36,"30 DOUGLASS AV","148400","3","1","0"
37,"24 DOUGLASS AV","182600","3","1","0"
38,"20 DOUGLASS AV","176300","3","1","0"
39,"3 TOWNSEND AV","243200","5","2","0"
40,"3A TOWNSEND AV","150600","3","1","0"
41,"5 TOWNSEND AV","160500","1","1","1"
42,"7 TOWNSEND AV","189400","3","1","1"
43,"MORRIS CSWY","3256500","","",""
44,"URIAH ST","5887800","","",""
45,"MORRIS CSWY","61200","","",""
46,"25 TOWNSEND AV","340500","00","0",""
47,"19 MORRIS CSWY","173000","2","2","0"
48,"25 MORRIS CSWY","182300","3","2","0"
49,"31 MORRIS CSWY","171900","2","1","0"
50,"39 MORRIS CSWY","145800","3","1","0"
51,"43 MORRIS CSWY","155100","3","1","1"
52,"49 MORRIS CSWY","2889600","","","1"
53,"11 TOWNSEND AV","167500","2","1","0"
54,"13 TOWNSEND AV","166800","3","1","1"
55,"15 TOWNSEND AV","165600","3","1","0"
56,"17 TOWNSEND AV","142700","3","1","1"
57,"19 TOWNSEND AV","153800","4","2","0"
58,"21 TOWNSEND AV","155400","3","2","0"
59,"1209 DEAN ST","5400","","",""
60,"1227 DEAN ST","3200","","",""
61,"1237 DEAN ST","3200","","",""
62,"1251 DEAN ST","3200","","",""
63,"DEAN ST","3200","","",""
64,"1271 DEAN ST","3900","","",""
65,"DEAN ST","2100","","",""
66,"1285 DEAN ST","2100","","",""
67,"1305 DEAN ST","5700","","",""
68,"1327 DEAN ST","5700","","",""
69,"191 BURR ST","1180800","00","0",""
70,"269 BURR ST","394000","","",""
71,"353 BURR ST","852600","","",""
72,"425 DODGE AV","1266900","","",""
73,"392 BURR ST","900","","",""
74,"400 BURR ST #1","620","","",""
75,"400 BURR ST #2","340","","",""
76,"400 BURR ST #3","410","","",""
77,"396 BURR ST #4","263500","4","2","1"
78,"400 BURR ST #5","286500","3","2","1"
79,"400 BURR ST #6","298400","3","2","1"
80,"400 BURR ST #7","312700","3","2","1"
81,"400 BURR ST #8","344100","3","2","1"
82,"400 BURR ST #9","287200","3","2","1"
83,"392 BURR ST","129200","3","1","0"
84,"384 BURR ST","124600","3","1","0"
85,"374 BURR ST","125000","3","1","0"
86,"366 BURR ST","128100","3","1","1"
87,"360 BURR ST","131600","4","2","0"
