"pid","location","latitude","longitude"
1,"51 SOUTH END RD",41.24821,-72.888855
2,"75 SOUTH END RD",41.247868,-72.88936
3,"199 SOUTH END RD",41.253483,-72.891014
4,"11 URIAH ST",41.25501,-72.89092
5,"181 SOUTH END RD",41.254623,-72.89135
6,"169 SOUTH END RD",41.254173,-72.89124
7,"173 SOUTH END RD",41.253483,-72.891014
8,"165 SOUTH END RD",41.25488,-72.89142
9,"161 SOUTH END RD",41.253483,-72.891014
10,"157 SOUTH END RD",41.25387,-72.89118
11,"153 SOUTH END RD",41.254272,-72.891266
12,"SOUTH END RD",NA,NA
13,"107 SOUTH END RD",41.25382,-72.89117
14,"101 SOUTH END RD",41.25488,-72.89142
15,"95 SOUTH END RD",41.248875,-72.88909
16,"SOUTH END RD",NA,NA
17,"91 SOUTH END RD",41.248497,-72.888954
18,"103 SOUTH END RD",41.254524,-72.89133
19,"SOUTH END RD",NA,NA
20,"URIAH ST",NA,NA
21,"SOUTH END RD",NA,NA
22,"SOUTH END RD",NA,NA
23,"5 DOUGLASS AV",41.25575,-72.891266
24,"11 DOUGLASS AV",41.25575,-72.891174
25,"17 DOUGLASS AV",41.25575,-72.89109
26,"23 DOUGLASS AV",41.25575,-72.89101
27,"29 DOUGLASS AV",41.25575,-72.890915
28,"32 URIAH ST",41.255028,-72.88996
29,"24 URIAH ST",41.255024,-72.89027
30,"20 URIAH ST",41.255024,-72.89042
31,"1 TOWNSEND AV",41.31931,-72.93546
32,"1 TOWNSEND AV #A",41.31931,-72.93546
33,"1 TOWNSEND AV #B",41.31931,-72.93546
34,"9 TOWNSEND AV",41.256634,-72.89084
35,"17 JOHNSTON ST",41.25654,-72.890686
36,"30 DOUGLASS AV",41.25576,-72.89095
37,"24 DOUGLASS AV",41.25576,-72.891045
38,"20 DOUGLASS AV",41.25576,-72.891106
39,"3 TOWNSEND AV",41.255833,-72.89134
40,"3A TOWNSEND AV",41.255833,-72.89134
41,"5 TOWNSEND AV",41.256153,-72.89115
42,"7 TOWNSEND AV",41.256477,-72.89095
43,"MORRIS CSWY",NA,NA
44,"URIAH ST",NA,NA
45,"MORRIS CSWY",NA,NA
46,"25 TOWNSEND AV",41.257725,-72.89133
47,"19 MORRIS CSWY",41.25821,-72.89092
48,"25 MORRIS CSWY",41.25825,-72.890854
49,"31 MORRIS CSWY",41.25829,-72.890785
50,"39 MORRIS CSWY",41.258343,-72.89069
51,"43 MORRIS CSWY",41.25837,-72.89065
52,"49 MORRIS CSWY",41.258408,-72.89058
53,"11 TOWNSEND AV",41.256783,-72.89079
54,"13 TOWNSEND AV",41.256935,-72.890785
55,"15 TOWNSEND AV",41.25708,-72.890816
56,"17 TOWNSEND AV",41.25721,-72.890915
57,"19 TOWNSEND AV",41.25734,-72.891014
58,"21 TOWNSEND AV",41.25747,-72.89112
59,"1209 DEAN ST",41.25911,-72.8901
60,"1227 DEAN ST",41.25932,-72.89022
61,"1237 DEAN ST",41.259438,-72.89029
62,"1251 DEAN ST",41.2596,-72.89039
63,"DEAN ST",NA,NA
64,"1271 DEAN ST",41.25984,-72.890526
65,"DEAN ST",NA,NA
66,"1285 DEAN ST",41.26001,-72.8906
67,"1305 DEAN ST",41.260254,-72.89068
68,"1327 DEAN ST",41.260536,-72.89067
69,"191 BURR ST",41.275986,-72.88703
70,"269 BURR ST",NA,NA
71,"353 BURR ST",NA,NA
72,"425 DODGE AV",NA,NA
73,"392 BURR ST",41.27469,-72.88843
74,"400 BURR ST #1",41.27747,-72.88522
75,"400 BURR ST #2",41.27747,-72.88522
76,"400 BURR ST #3",41.27747,-72.88522
77,"396 BURR ST #4",41.27492,-72.888336
78,"400 BURR ST #5",41.27747,-72.88522
79,"400 BURR ST #6",41.27747,-72.88522
80,"400 BURR ST #7",41.27747,-72.88522
81,"400 BURR ST #8",41.27747,-72.88522
82,"400 BURR ST #9",41.27747,-72.88522
83,"392 BURR ST",41.27469,-72.88843
84,"384 BURR ST",41.274452,-72.888435
85,"374 BURR ST",41.274036,-72.88852
86,"366 BURR ST",41.273872,-72.88866
87,"360 BURR ST",41.273743,-72.88874
88,"354 BURR ST",41.273605,-72.88881
89,"348 BURR ST",41.273468,-72.88888
90,"344 BURR ST",41.273376,-72.888916
91,"342 BURR ST",41.27333,-72.88893
92,"340 BURR ST",41.27328,-72.888954
93,"336 BURR ST",41.27319,-72.88899
94,"330 BURR ST",41.273052,-72.88905
95,"320 BURR ST",41.27282,-72.88915
96,"310 BURR ST",41.272594,-72.88927
97,"175 TOWNSEND TER",41.273636,-72.89089
98,"155 TOWNSEND TER",41.273785,-72.89132
99,"147 TOWNSEND TER",41.27385,-72.89149
100,"135 TOWNSEND TER",41.27394,-72.89174
101,"215 HYDE ST",41.27338,-72.89225
102,"223 HYDE ST",41.273594,-72.89224
103,"235 HYDE ST",41.273792,-72.892235
104,"118 TOWNSEND TER",41.274075,-72.89207
105,"126 TOWNSEND TER",41.274014,-72.8919
106,"132 TOWNSEND TER",41.273968,-72.89177
107,"140 TOWNSEND TER",41.273907,-72.8916
108,"144 TOWNSEND TER",41.273872,-72.89152
109,"150 TOWNSEND TER",41.273827,-72.891396
110,"158 TOWNSEND TER",41.273766,-72.89123
111,"164 TOWNSEND TER",41.273716,-72.8911
112,"168 TOWNSEND TER",41.27369,-72.891014
113,"172 TOWNSEND TER",41.273663,-72.89093
114,"176 TOWNSEND TER",41.273632,-72.89084
115,"400 BURR ST",41.27747,-72.88522
116,"393 BURR ST",NA,NA
117,"15 HOLMES ST",41.274723,-72.887245
118,"25 HOLMES ST",41.27475,-72.88739
119,"437 BURR ST",41.27565,-72.88789
120,"427 BURR ST",41.27574,-72.88781
121,"419 BURR ST",41.275806,-72.88773
122,"409 BURR ST",41.27588,-72.88763
123,"401 BURR ST",41.27594,-72.887535
124,"18 HOLMES ST",NA,NA
125,"BURR ST",NA,NA
126,"402 BURR ST",41.275043,-72.88829
127,"404 BURR ST",41.275066,-72.888275
128,"412 BURR ST",41.275154,-72.88824
129,"416 BURR ST",41.2752,-72.88822
130,"420 BURR ST",41.275246,-72.8882
131,"434 BURR ST",41.275402,-72.888115
132,"440 BURR ST",41.275467,-72.88808
133,"408 BURR ST",41.27511,-72.88826
134,"428 BURR ST",41.275337,-72.88815
135,"44 LAURA LA",41.27685,-72.88873
136,"675 TOWNSEND AV #116",41.274887,-72.8963
137,"675 TOWNSEND AV #117",41.274887,-72.8963
138,"675 TOWNSEND AV #118",41.274887,-72.8963
139,"675 TOWNSEND AV #119",41.274887,-72.8963
140,"675 TOWNSEND AV #120",41.274887,-72.8963
141,"675 TOWNSEND AV #121",41.274887,-72.8963
142,"675 TOWNSEND AV #132",41.274887,-72.8963
143,"675 TOWNSEND AV #133",41.274887,-72.8963
144,"675 TOWNSEND AV #134",41.274887,-72.8963
145,"675 TOWNSEND AV #135",41.274887,-72.8963
146,"675 TOWNSEND AV #136",41.274887,-72.8963
147,"675 TOWNSEND AV #137",41.274887,-72.8963
148,"675 TOWNSEND AV #138",41.274887,-72.8963
149,"675 TOWNSEND AV #139",41.274887,-72.8963
150,"675 TOWNSEND AV #140",41.274887,-72.8963
151,"675 TOWNSEND AV #141",41.274887,-72.8963
152,"675 TOWNSEND AV #142",41.274887,-72.8963
153,"675 TOWNSEND AV #143",41.274887,-72.8963
154,"675 TOWNSEND AV #154",41.274887,-72.8963
155,"675 TOWNSEND AV #155",41.274887,-72.8963
156,"675 TOWNSEND AV #156",41.274887,-72.8963
157,"675 TOWNSEND AV #157",41.274887,-72.8963
158,"675 TOWNSEND AV #158",41.274887,-72.8963
159,"675 TOWNSEND AV #159",41.274887,-72.8963
160,"675 TOWNSEND AV #160",41.274887,-72.8963
161,"675 TOWNSEND AV #161",41.274887,-72.8963
162,"675 TOWNSEND AV #162",41.274887,-72.8963
163,"675 TOWNSEND AV #163",41.274887,-72.8963
164,"675 TOWNSEND AV #164",41.274887,-72.8963
165,"675 TOWNSEND AV #165",41.274887,-72.8963
166,"675 TOWNSEND AV #166",41.274887,-72.8963
167,"675 TOWNSEND AV #167",41.274887,-72.8963
168,"675 TOWNSEND AV #168",41.274887,-72.8963
169,"675 TOWNSEND AV #169",41.274887,-72.8963
170,"675 TOWNSEND AV #170",41.274887,-72.8963
171,"675 TOWNSEND AV #171",41.274887,-72.8963
172,"675 TOWNSEND AV #178",41.274887,-72.8963
173,"675 TOWNSEND AV #179",41.274887,-72.8963
174,"675 TOWNSEND AV #180",41.274887,-72.8963
175,"675 TOWNSEND AV #181",41.274887,-72.8963
176,"675 TOWNSEND AV #190",41.274887,-72.8963
177,"675 TOWNSEND AV #191",41.274887,-72.8963
178,"675 TOWNSEND AV #192",41.274887,-72.8963
179,"675 TOWNSEND AV #193",41.274887,-72.8963
180,"675 TOWNSEND AV #186",41.274887,-72.8963
181,"675 TOWNSEND AV #187",41.274887,-72.8963
182,"675 TOWNSEND AV #188",41.274887,-72.8963
183,"675 TOWNSEND AV #189",41.274887,-72.8963
184,"675 TOWNSEND AV #182",41.274887,-72.8963
185,"675 TOWNSEND AV #183",41.274887,-72.8963
186,"675 TOWNSEND AV #184",41.274887,-72.8963
187,"675 TOWNSEND AV #185",41.274887,-72.8963
188,"675 TOWNSEND AV #176",41.274887,-72.8963
189,"675 TOWNSEND AV #177",41.274887,-72.8963
190,"675 TOWNSEND AV #172",41.274887,-72.8963
191,"675 TOWNSEND AV #173",41.274887,-72.8963
192,"675 TOWNSEND AV #174",41.274887,-72.8963
193,"675 TOWNSEND AV #175",41.274887,-72.8963
194,"675 TOWNSEND AV #152",41.274887,-72.8963
195,"675 TOWNSEND AV #153",41.274887,-72.8963
196,"675 TOWNSEND AV #148",41.274887,-72.8963
197,"675 TOWNSEND AV #149",41.274887,-72.8963
198,"675 TOWNSEND AV #150",41.274887,-72.8963
199,"675 TOWNSEND AV #151",41.274887,-72.8963
200,"675 TOWNSEND AV #144",41.274887,-72.8963
201,"675 TOWNSEND AV #145",41.274887,-72.8963
202,"675 TOWNSEND AV #146",41.274887,-72.8963
203,"675 TOWNSEND AV #147",41.274887,-72.8963
204,"675 TOWNSEND AV #128",41.274887,-72.8963
205,"675 TOWNSEND AV #129",41.274887,-72.8963
206,"675 TOWNSEND AV #130",41.274887,-72.8963
207,"675 TOWNSEND AV #131",41.274887,-72.8963
208,"675 TOWNSEND AV #126",41.274887,-72.8963
209,"675 TOWNSEND AV #127",41.274887,-72.8963
210,"675 TOWNSEND AV #122",41.274887,-72.8963
211,"675 TOWNSEND AV #123",41.274887,-72.8963
212,"675 TOWNSEND AV #124",41.274887,-72.8963
213,"675 TOWNSEND AV #125",41.274887,-72.8963
214,"675 TOWNSEND AV #112",41.274887,-72.8963
215,"675 TOWNSEND AV #113",41.274887,-72.8963
216,"675 TOWNSEND AV #114",41.274887,-72.8963
217,"675 TOWNSEND AV #115",41.274887,-72.8963
218,"675 TOWNSEND AV #108",41.274887,-72.8963
219,"675 TOWNSEND AV #109",41.274887,-72.8963
220,"675 TOWNSEND AV #110",41.274887,-72.8963
221,"675 TOWNSEND AV #111",41.274887,-72.8963
222,"675 TOWNSEND AV #104",41.274887,-72.8963
223,"675 TOWNSEND AV #105",41.274887,-72.8963
224,"675 TOWNSEND AV #106",41.274887,-72.8963
225,"675 TOWNSEND AV #107",41.274887,-72.8963
226,"675 TOWNSEND AV #101",41.274887,-72.8963
227,"675 TOWNSEND AV #102",41.274887,-72.8963
228,"675 TOWNSEND AV #103",41.274887,-72.8963
229,"108 LAURA LA",41.277206,-72.88763
230,"102 LAURA LA",41.27725,-72.88779
231,"96 LAURA LA",41.27729,-72.88795
232,"LAURA LA",NA,NA
233,"LAURA LA",NA,NA
234,"86 LAURA LA",41.277363,-72.888214
235,"80 LAURA LA",41.277405,-72.88838
236,"76 LAURA LA",41.277424,-72.88849
237,"72 LAURA LA",41.277416,-72.8886
238,"68 LAURA LA",41.277363,-72.888695
239,"62 LAURA LA",41.277237,-72.88873
240,"56 LAURA LA",41.277107,-72.88873
241,"50 LAURA LA",41.276978,-72.88873
242,"46 LAURA LA",41.276894,-72.88873
243,"42 LAURA LA",41.27681,-72.88872
244,"38 LAURA LA",41.276745,-72.88864
245,"32 LAURA LA",41.2767,-72.88848
246,"24 LAURA LA",41.27665,-72.88826
247,"16 LAURA LA",41.2766,-72.88805
248,"10 LAURA LA",41.276558,-72.88788
249,"4 LAURA LA",41.27652,-72.88772
250,"115 LAURA LA",41.277115,-72.887314
251,"107 LAURA LA",41.277195,-72.887634
252,"101 LAURA LA",41.27724,-72.887794
253,"95 LAURA LA",41.277283,-72.887955
254,"87 LAURA LA",41.27734,-72.88817
255,"81 LAURA LA",41.277378,-72.88833
256,"35 LAURA LA",41.276737,-72.88858
257,"29 LAURA LA",41.2767,-72.88842
258,"23 LAURA LA",41.27666,-72.88825
259,"17 LAURA LA",41.276623,-72.88809
260,"11 LAURA LA",41.276585,-72.88793
261,"5 LAURA LA",41.276546,-72.887764
262,"159 HUNTINGTON RD",41.278835,-72.89
263,"157 HUNTINGTON RD",41.278862,-72.89
264,"151 HUNTINGTON RD",41.278942,-72.89
265,"155 HUNTINGTON RD",41.27889,-72.89
266,"145 HUNTINGTON RD",41.27902,-72.89
267,"137 HUNTINGTON RD",41.279125,-72.89
268,"129 HUNTINGTON RD",41.27923,-72.89001
269,"123 HUNTINGTON RD",41.27931,-72.89001
270,"115 HUNTINGTON RD",41.27941,-72.89001
271,"107 HUNTINGTON RD",41.279514,-72.890015
272,"99 HUNTINGTON RD",41.27962,-72.890015
273,"91 HUNTINGTON RD",41.279724,-72.890015
274,"83 HUNTINGTON RD",41.280083,-72.890015
275,"75 HUNTINGTON RD",41.280293,-72.890015
276,"65 HUNTINGTON RD",41.280552,-72.890015
277,"44 ELIZABETH ANN DR",41.280422,-72.88905
278,"52 ELIZABETH ANN DR",41.280285,-72.889046
279,"56 ELIZABETH ANN DR",41.280216,-72.889046
280,"60 ELIZABETH ANN DR",41.280148,-72.88904
281,"66 ELIZABETH ANN DR",41.280045,-72.88904
282,"CHARTER OAK AV",NA,NA
283,"CHARTER OAK AV",NA,NA
284,"CHARTER OAK AV",NA,NA
285,"CHARTER OAK AV",NA,NA
286,"CHARTER OAK AV",NA,NA
287,"CHARTER OAK AV",NA,NA
288,"125 HUNTINGTON RD",41.27928,-72.89001
289,"CHARTER OAK AV",NA,NA
290,"CHARTER OAK AV",NA,NA
291,"4 HUGHES ST EX",NA,NA
292,"8 HUGHES ST EX",NA,NA
293,"72 ELIZABETH ANN DR",41.27994,-72.88901
294,"78 ELIZABETH ANN DR",41.279858,-72.88892
295,"84 ELIZABETH ANN DR",41.279827,-72.888794
296,"88 ELIZABETH ANN DR",41.279827,-72.8887
297,"94 ELIZABETH ANN DR",41.27983,-72.888565
298,"100 ELIZABETH ANN DR",41.279835,-72.88843
299,"104 ELIZABETH ANN DR",41.279835,-72.888336
300,"110 ELIZABETH ANN DR",41.27984,-72.8882
301,"118 ELIZABETH ANN DR",41.279938,-72.88807
302,"124 ELIZABETH ANN DR",41.280037,-72.88804
303,"132 ELIZABETH ANN DR",41.280174,-72.88805
304,"138 ELIZABETH ANN DR",41.280277,-72.88805
305,"146 ELIZABETH ANN DR",41.280415,-72.888054
306,"5 MASSACHUSETTS AV",41.28171,-72.88795
307,"11 MASSACHUSETTS AV",41.281914,-72.88777
308,"MASSACHUSETTS AV",NA,NA
309,"75 ELIZABETH ANN DR",41.279896,-72.888954
310,"55 ELIZABETH ANN DR",41.28022,-72.88903
311,"49 ELIZABETH ANN DR",41.280323,-72.88903
312,"41 ELIZABETH ANN DR",41.280457,-72.88904
313,"35 ELIZABETH ANN DR",41.2809,-72.88905
314,"29 ELIZABETH ANN DR",41.281044,-72.88905
