pid,location
1,51 SOUTH END RD
2,75 SOUTH END RD
3,199 SOUTH END RD
4,11 URIAH ST
5,181 SOUTH END RD
6,169 SOUTH END RD
7,173 SOUTH END RD
8,165 SOUTH END RD
9,161 SOUTH END RD
10,157 SOUTH END RD
11,153 SOUTH END RD
12,SOUTH END RD
13,107 SOUTH END RD
14,101 SOUTH END RD
15,95 SOUTH END RD
16,SOUTH END RD
17,91 SOUTH END RD
18,103 SOUTH END RD
19,SOUTH END RD
20,URIAH ST
21,SOUTH END RD
22,SOUTH END RD
23,5 DOUGLASS AV
24,11 DOUGLASS AV
25,17 DOUGLASS AV
26,23 DOUGLASS AV
27,29 DOUGLASS AV
28,32 URIAH ST
29,24 URIAH ST
30,20 URIAH ST
31,1 TOWNSEND AV
32,1 TOWNSEND AV #A
33,1 TOWNSEND AV #B
34,9 TOWNSEND AV
35,17 JOHNSTON ST
36,30 DOUGLASS AV
37,24 DOUGLASS AV
38,20 DOUGLASS AV
39,3 TOWNSEND AV
40,3A TOWNSEND AV
41,5 TOWNSEND AV
42,7 TOWNSEND AV
43,MORRIS CSWY
44,URIAH ST
45,MORRIS CSWY
46,25 TOWNSEND AV
47,19 MORRIS CSWY
48,25 MORRIS CSWY
49,31 MORRIS CSWY
50,39 MORRIS CSWY
51,43 MORRIS CSWY
52,49 MORRIS CSWY
53,11 TOWNSEND AV
54,13 TOWNSEND AV
55,15 TOWNSEND AV
56,17 TOWNSEND AV
57,19 TOWNSEND AV
58,21 TOWNSEND AV
59,1209 DEAN ST
60,1227 DEAN ST
61,1237 DEAN ST
62,1251 DEAN ST
63,DEAN ST
64,1271 DEAN ST
65,DEAN ST
66,1285 DEAN ST
67,1305 DEAN ST
68,1327 DEAN ST
69,191 BURR ST
70,269 BURR ST
71,353 BURR ST
72,425 DODGE AV
73,392 BURR ST
74,400 BURR ST #1
75,400 BURR ST #2
76,400 BURR ST #3
77,396 BURR ST #4
78,400 BURR ST #5
79,400 BURR ST #6
80,400 BURR ST #7
81,400 BURR ST #8
82,400 BURR ST #9
83,392 BURR ST
84,384 BURR ST
85,374 BURR ST
86,366 BURR ST
87,360 BURR ST
88,354 BURR ST
89,348 BURR ST
90,344 BURR ST
91,342 BURR ST
92,340 BURR ST
93,336 BURR ST
94,330 BURR ST
95,320 BURR ST
96,310 BURR ST
97,175 TOWNSEND TER
98,155 TOWNSEND TER
99,147 TOWNSEND TER
100,135 TOWNSEND TER
101,215 HYDE ST
102,223 HYDE ST
103,235 HYDE ST
104,118 TOWNSEND TER
105,126 TOWNSEND TER
106,132 TOWNSEND TER
107,140 TOWNSEND TER
108,144 TOWNSEND TER
109,150 TOWNSEND TER
110,158 TOWNSEND TER
111,164 TOWNSEND TER
112,168 TOWNSEND TER
113,172 TOWNSEND TER
114,176 TOWNSEND TER
115,400 BURR ST
116,393 BURR ST
117,15 HOLMES ST
118,25 HOLMES ST
119,437 BURR ST
120,427 BURR ST
121,419 BURR ST
122,409 BURR ST
123,401 BURR ST
124,18 HOLMES ST
125,BURR ST
126,402 BURR ST
127,404 BURR ST
128,412 BURR ST
129,416 BURR ST
130,420 BURR ST
131,434 BURR ST
132,440 BURR ST
133,408 BURR ST
134,428 BURR ST
135,44 LAURA LA
136,675 TOWNSEND AV #116
137,675 TOWNSEND AV #117
138,675 TOWNSEND AV #118
139,675 TOWNSEND AV #119
140,675 TOWNSEND AV #120
141,675 TOWNSEND AV #121
142,675 TOWNSEND AV #132
143,675 TOWNSEND AV #133
144,675 TOWNSEND AV #134
145,675 TOWNSEND AV #135
146,675 TOWNSEND AV #136
147,675 TOWNSEND AV #137
148,675 TOWNSEND AV #138
149,675 TOWNSEND AV #139
150,675 TOWNSEND AV #140
151,675 TOWNSEND AV #141
152,675 TOWNSEND AV #142
153,675 TOWNSEND AV #143
154,675 TOWNSEND AV #154
155,675 TOWNSEND AV #155
156,675 TOWNSEND AV #156
157,675 TOWNSEND AV #157
158,675 TOWNSEND AV #158
159,675 TOWNSEND AV #159
160,675 TOWNSEND AV #160
161,675 TOWNSEND AV #161
162,675 TOWNSEND AV #162
163,675 TOWNSEND AV #163
164,675 TOWNSEND AV #164
165,675 TOWNSEND AV #165
166,675 TOWNSEND AV #166
167,675 TOWNSEND AV #167
168,675 TOWNSEND AV #168
169,675 TOWNSEND AV #169
170,675 TOWNSEND AV #170
171,675 TOWNSEND AV #171
172,675 TOWNSEND AV #178
173,675 TOWNSEND AV #179
174,675 TOWNSEND AV #180
175,675 TOWNSEND AV #181
176,675 TOWNSEND AV #190
177,675 TOWNSEND AV #191
178,675 TOWNSEND AV #192
179,675 TOWNSEND AV #193
180,675 TOWNSEND AV #186
181,675 TOWNSEND AV #187
182,675 TOWNSEND AV #188
183,675 TOWNSEND AV #189
184,675 TOWNSEND AV #182
185,675 TOWNSEND AV #183
186,675 TOWNSEND AV #184
187,675 TOWNSEND AV #185
188,675 TOWNSEND AV #176
189,675 TOWNSEND AV #177
190,675 TOWNSEND AV #172
191,675 TOWNSEND AV #173
192,675 TOWNSEND AV #174
193,675 TOWNSEND AV #175
194,675 TOWNSEND AV #152
195,675 TOWNSEND AV #153
196,675 TOWNSEND AV #148
197,675 TOWNSEND AV #149
198,675 TOWNSEND AV #150
199,675 TOWNSEND AV #151
200,675 TOWNSEND AV #144
201,675 TOWNSEND AV #145
202,675 TOWNSEND AV #146
203,675 TOWNSEND AV #147
204,675 TOWNSEND AV #128
205,675 TOWNSEND AV #129
206,675 TOWNSEND AV #130
207,675 TOWNSEND AV #131
208,675 TOWNSEND AV #126
209,675 TOWNSEND AV #127
210,675 TOWNSEND AV #122
211,675 TOWNSEND AV #123
212,675 TOWNSEND AV #124
213,675 TOWNSEND AV #125
214,675 TOWNSEND AV #112
215,675 TOWNSEND AV #113
216,675 TOWNSEND AV #114
217,675 TOWNSEND AV #115
218,675 TOWNSEND AV #108
219,675 TOWNSEND AV #109
220,675 TOWNSEND AV #110
221,675 TOWNSEND AV #111
222,675 TOWNSEND AV #104
223,675 TOWNSEND AV #105
224,675 TOWNSEND AV #106
225,675 TOWNSEND AV #107
226,675 TOWNSEND AV #101
227,675 TOWNSEND AV #102
228,675 TOWNSEND AV #103
229,108 LAURA LA
230,102 LAURA LA
231,96 LAURA LA
232,LAURA LA
233,LAURA LA
234,86 LAURA LA
235,80 LAURA LA
236,76 LAURA LA
237,72 LAURA LA
238,68 LAURA LA
239,62 LAURA LA
240,56 LAURA LA
241,50 LAURA LA
242,46 LAURA LA
243,42 LAURA LA
244,38 LAURA LA
245,32 LAURA LA
246,24 LAURA LA
247,16 LAURA LA
248,10 LAURA LA
249,4 LAURA LA
250,115 LAURA LA
251,107 LAURA LA
252,101 LAURA LA
253,95 LAURA LA
254,87 LAURA LA
255,81 LAURA LA
256,35 LAURA LA
257,29 LAURA LA
258,23 LAURA LA
259,17 LAURA LA
260,11 LAURA LA
261,5 LAURA LA
