"pid","location","lat","lon"
15000,"COLLEGE ST",41.3072866,-72.9286877
15001,"260 COLLEGE ST",41.3068138,-72.9292254
15002,"COLLEGE ST",41.3072866,-72.9286877
15003,"238 COLLEGE ST #2",44.4773655,-73.2102201
15004,"238 COLLEGE ST #1",44.4773655,-73.2102201
15005,NA,40.6004643,-73.752093
15006,NA,40.6004643,-73.752093
15007,"234 COLLEGE ST",41.306491,-72.929709
15008,"CROWN ST",41.3060093,-72.9296141
15009,"220 COLLEGE ST",41.306305,-72.929767
15010,"255 CROWN ST",41.3065,-72.930159
15011,"261 CROWN ST",41.3065659,-72.930348
15012,"265 CROWN ST",41.306623,-72.930485
15013,"271 CROWN ST",41.3067,-72.930661
15014,"277 CROWN ST",41.306724,-72.930831
15015,"279 CROWN ST",41.306753,-72.930898
15016,"281 CROWN ST",41.306782,-72.9309619
15017,"1073 CHAPEL ST",41.308411,-72.930805
15018,"197 YORK ST",41.309018,-72.930463
15019,"201 YORK ST",41.309848,-72.929778
15020,"64 HIGH ST",41.3085499,-72.930192
15021,"60 HIGH ST",41.3081103,-72.9303222
15022,"HIGH ST",41.3090334,-72.9294973
15023,"1021 CHAPEL ST",41.3079915,-72.92928
15024,"61 HIGH ST",41.3089005,-72.9292614
15025,"214 ELM ST",41.309599,-72.92823
15026,"200 ELM ST",41.3096626,-72.9280878
15027,"330 COLLEGE ST",41.308579,-72.928363
15028,NA,40.6004643,-73.752093
15029,"60 YORK ST",41.3051995,-72.9340164
15030,"390 GEORGE ST",41.306572,-72.934663
15031,"82 YORK ST",41.306117,-72.934061
15032,"335 NORTH FRONTAGE RD",41.306302,-72.934957
15033,"300 GEORGE ST",41.304964,-72.9312779
15034,"340 GEORGE ST",41.3053545,-72.9321817
15035,"111 PARK ST",41.2615699,-72.9420293
15036,"100 YORK ST",41.3069846,-72.9330835
15037,"379 GEORGE ST",41.306784,-72.933741
15038,"123 YORK ST",41.3062035,-72.9321727
15039,"129 YORK ST",41.3068001,-72.9325098
15040,"HIGH ST",41.3090334,-72.9294973
15041,"280 CROWN ST",41.3064281,-72.9311797
15042,"274 CROWN ST",41.3062693,-72.931033
15043,"270 CROWN ST",41.3061923,-72.9308971
15044,"260 CROWN ST",41.306094,-72.930638
15045,"254 CROWN ST",41.3061295,-72.9303245
15046,"250 CROWN ST",41.306066,-72.930187
15047,NA,40.6004643,-73.752093
15048,"200 COLLEGE ST",41.3057538,-72.9298251
15049,NA,40.6004643,-73.752093
15050,"297 GEORGE ST",41.3055339,-72.9305785
15051,"301 GEORGE ST",41.305754,-72.931044
15052,"301 GEORGE ST",41.305754,-72.931044
15053,"305 GEORGE ST",41.3055006,-72.9313289
15054,"323 GEORGE ST",41.3058187,-72.9314606
15055,"9 HIGH ST",41.3060339,-72.931409
15056,"15 HIGH ST",41.306229,-72.931326
15057,"184 LIBERTY ST",41.3013845,-72.9327872
15058,"184 LIBERTY ST",41.3013845,-72.9327872
15059,"290 CONGRESS AV",41.3019146,-72.9326011
15060,"270 CONGRESS AV",41.3019556,-72.9322032
15061,"216 CONGRESS AV",41.302129,-72.9317389
15062,"93 WASHINGTON AV",41.301605,-72.932301
15063,"101 WASHINGTON AV",41.301536,-72.93239
15064,"789 HOWARD AV",41.3026254,-72.9349287
15065,"375 CONGRESS AV",41.302042,-72.934397
15066,NA,40.6004643,-73.752093
15067,NA,40.6004643,-73.752093
15068,"333 CEDAR ST",41.3031877,-72.9339756
15069,"35 COLLEGE ST",41.3029,-72.931297
15070,"144 COLUMBUS AV",41.298347,-72.929326
15071,"150 COLUMBUS AV",41.298326,-72.9294929
15072,"PORTSEA ST",41.297119,-72.9326994
