"pid","location","lat","lon"
1,"51 SOUTH END RD",NA,NA
2,"75 SOUTH END RD",NA,NA
3,"199 SOUTH END RD",NA,NA
4,"11 URIAH ST",NA,NA
5,"181 SOUTH END RD",NA,NA
6,"169 SOUTH END RD",NA,NA
7,"173 SOUTH END RD",NA,NA
8,"165 SOUTH END RD",NA,NA
9,"161 SOUTH END RD",NA,NA
10,"157 SOUTH END RD",NA,NA
11,"153 SOUTH END RD",NA,NA
12,"SOUTH END RD",NA,NA
13,"107 SOUTH END RD",NA,NA
14,"101 SOUTH END RD",NA,NA
15,"95 SOUTH END RD",NA,NA
16,"SOUTH END RD",NA,NA
17,"91 SOUTH END RD",NA,NA
18,"103 SOUTH END RD",NA,NA
19,"SOUTH END RD",NA,NA
20,"URIAH ST",NA,NA
21,"SOUTH END RD",NA,NA
22,"SOUTH END RD",NA,NA
23,"5 DOUGLASS AV",NA,NA
24,"11 DOUGLASS AV",NA,NA
25,"17 DOUGLASS AV",NA,NA
26,"23 DOUGLASS AV",NA,NA
27,"29 DOUGLASS AV",NA,NA
28,"32 URIAH ST",NA,NA
29,"24 URIAH ST",NA,NA
30,"20 URIAH ST",NA,NA
31,"1 TOWNSEND AV",NA,NA
32,"1 TOWNSEND AV #A",NA,NA
33,"1 TOWNSEND AV #B",NA,NA
34,"9 TOWNSEND AV",NA,NA
35,"17 JOHNSTON ST",NA,NA
36,"30 DOUGLASS AV",NA,NA
37,"24 DOUGLASS AV",NA,NA
38,"20 DOUGLASS AV",NA,NA
39,"3 TOWNSEND AV",NA,NA
40,"3A TOWNSEND AV",NA,NA
41,"5 TOWNSEND AV",NA,NA
42,"7 TOWNSEND AV",NA,NA
43,"MORRIS CSWY",NA,NA
44,"URIAH ST",NA,NA
45,"MORRIS CSWY",NA,NA
46,"25 TOWNSEND AV",NA,NA
47,"19 MORRIS CSWY",NA,NA
48,"25 MORRIS CSWY",NA,NA
49,"31 MORRIS CSWY",NA,NA
50,"39 MORRIS CSWY",NA,NA
51,"43 MORRIS CSWY",NA,NA
52,"49 MORRIS CSWY",NA,NA
53,"11 TOWNSEND AV",NA,NA
54,"13 TOWNSEND AV",NA,NA
55,"15 TOWNSEND AV",NA,NA
56,"17 TOWNSEND AV",NA,NA
57,"19 TOWNSEND AV",NA,NA
58,"21 TOWNSEND AV",NA,NA
59,"1209 DEAN ST",NA,NA
60,"1227 DEAN ST",NA,NA
61,"1237 DEAN ST",NA,NA
62,"1251 DEAN ST",NA,NA
63,"DEAN ST",NA,NA
64,"1271 DEAN ST",NA,NA
65,"DEAN ST",NA,NA
66,"1285 DEAN ST",NA,NA
67,"1305 DEAN ST",NA,NA
68,"1327 DEAN ST",NA,NA
