"pid","location","lat","lon"
9000,"269 VIEW ST",41.2637087,-72.8940263
9001,"283 VIEW ST",41.26357,-72.893978
9002,"287 VIEW ST",41.2634503,-72.8938513
9003,"291 VIEW ST",41.263327,-72.8937698
9004,"295 VIEW ST",41.263215,-72.893738
9005,"307 VIEW ST",41.263274,-72.894018
9006,"98 ROCK ST",41.2635122,-72.8927652
9007,"76 RIDGE ST",41.263199,-72.8942129
9008,"70 RIDGE ST",41.2635122,-72.8927652
9009,"66 RIDGE ST",41.2629792,-72.8942991
9010,"62 RIDGE ST",41.262897,-72.894596
9011,"58 RIDGE ST",41.26307,-72.894648
9012,"38 RIDGE ST",41.263182,-72.894708
9013,"50 RIDGE ST",41.263277,-72.894789
9014,"46 RIDGE ST",41.263435,-72.894718
9015,"44 RIDGE ST",41.263503,-72.894833
9016,"40 RIDGE ST",41.263574,-72.894935
9017,"3 RIDGE ST",41.263667,-72.894992
9018,"7 RIDGE ST",41.263708,-72.8951809
9019,"15 RIDGE ST",41.26375,-72.89532
9020,"17 RIDGE ST",41.263839,-72.895389
9021,"21 RIDGE ST",41.2642809,-72.893995
9022,"27 RIDGE ST",41.264335,-72.893826
9023,"31 RIDGE ST",41.2644244,-72.893732
9024,"41 RIDGE ST",41.264417,-72.893579
9025,"51 RIDGE ST",41.2645071,-72.8934894
9026,"61 RIDGE ST",41.264184,-72.8934589
9027,"76 ROCK ST",41.264019,-72.893367
9028,"72 ROCK ST",41.263897,-72.893297
9029,"68 ROCK ST",41.2637789,-72.8931717
9030,"64 GRACE ST",41.2636077,-72.8931106
9031,"178 CEDAR HILL AV",41.2633745,-72.8933949
9032,"174 CEDAR HILL AV",41.2635772,-72.8935124
9033,"172 CEDAR HILL AV",41.263722,-72.893561
9034,"168 CEDAR HILL AV",41.26383,-72.893633
9035,"164 CEDAR HILL AV",41.2639042,-72.8937705
9036,"160 CEDAR HILL AV",41.2639987,-72.8938162
9037,"158 CEDAR HILL AV",41.2641132,-72.8938833
9038,"156 CEDAR HILL AV",41.264176,-72.892867
9039,"154 CEDAR HILL AV",41.264195,-72.892629
9040,"150 CEDAR HILL AV",41.264217,-72.892478
9041,"142 CEDAR HILL AV",41.2643922,-72.8922036
9042,"138 CEDAR HILL AV",41.2646095,-72.8916084
9043,"136 CEDAR HILL AV",41.2646616,-72.8914582
9044,"134 CEDAR HILL AV",41.2643509,-72.8913915
9045,"130 CEDAR HILL AV",41.2641948,-72.8914856
9046,"126 CEDAR HILL AV",41.2641471,-72.8916459
9047,"118 CEDAR HILL AV",41.264122,-72.89183
9048,"116 CEDAR HILL AV",41.2640148,-72.8919372
9049,"114 CEDAR HILL AV",41.263995,-72.892151
9050,"112 CEDAR HILL AV",41.2638795,-72.8922634
9051,"29 WARREN PL",41.2638241,-72.8924209
9052,"123 CEDAR HILL AV",41.2637556,-72.892661
9053,"125 CEDAR HILL AV",41.26397,-72.892666
9054,"127 CEDAR HILL AV",41.2640514,-72.8928179
9055,"129 CEDAR HILL AV",41.261822,-72.894354
9056,"131 CEDAR HILL AV",41.2741667,-72.896459
9057,"26 MAY ST",41.261645,-72.894237
9058,"22 MAY ST",41.2614919,-72.894136
9059,"20 MAY ST",41.261365,-72.894069
9060,"1318 STATE ST",41.261234,-72.893993
9061,"1314 STATE ST",41.261058,-72.893879
9062,"1312 STATE ST",41.2741667,-72.896459
9063,"1308 STATE ST",41.260798,-72.893756
9064,"1306 STATE ST",41.260621,-72.893683
9065,"1296 STATE ST",41.260439,-72.893613
9066,"9 WARREN PL",41.260255,-72.893529
9067,"15 WARREN PL",41.260152,-72.893476
9068,"19 WARREN PL",41.260039,-72.893409
9069,"25 WARREN PL",41.25992,-72.893342
9070,"27 WARREN PL",41.2741667,-72.896459
9071,"145 CEDAR HILL AV",41.259798,-72.893271
9072,"155 CEDAR HILL AV",41.25968,-72.8932109
9073,"157 CEDAR HILL AV",41.261347,-72.890903
9074,"161 CEDAR HILL AV",41.2614112,-72.8911774
