"pid","lat","lon"
1,41.240505,-72.9737892
2,41.2409311,-72.9748485
3,41.2433238,-72.9801637
4,41.2548312,-72.8908917
5,41.2429784,-72.979369
6,41.2427399,-72.9788159
7,41.2427992,-72.9789521
8,41.2426807,-72.9786797
9,41.2426214,-72.9785436
10,41.2425622,-72.9784074
11,41.242503,-72.9782712
12,41.5658857,-72.8741861
13,41.2417673,-72.9765914
14,41.2416173,-72.9762505
15,41.2415207,-72.9760268
16,41.5658857,-72.8741861
17,41.2414578,-72.9758805
18,41.2416722,-72.9763753
19,41.5658857,-72.8741861
20,41.2549908,-72.890758
21,41.5658857,-72.8741861
22,41.5658857,-72.8741861
23,41.25559,-72.891124
24,41.255518,-72.8907849
25,41.2555631,-72.8905907
26,41.2555651,-72.8904189
27,41.25557,-72.8902523
28,41.255227,-72.890312
29,41.2552189,-72.890592
30,41.2551972,-72.8907975
31,41.255142,-72.891128
32,41.255142,-72.891128
33,41.255142,-72.891128
34,41.256411,-72.890687
35,41.2563557,-72.8902213
36,41.255958,-72.890186
37,41.255958,-72.890389
38,41.2559029,-72.8905901
39,41.256047,-72.890887
40,41.256047,-72.890887
41,41.256178,-72.890759
42,41.256292,-72.890726
43,41.2581269,-72.890977
44,41.2549908,-72.890758
45,41.2581269,-72.890977
46,41.2577211,-72.8908784
47,41.2579788,-72.8907601
48,41.257978,-72.890511
49,41.258066,-72.890311
50,41.2581909,-72.890137
51,41.258271,-72.889975
52,41.25835,-72.88983
53,41.256666,-72.890434
54,41.256847,-72.890416
55,41.257042,-72.890441
56,41.257228,-72.890581
57,41.257356,-72.890685
58,41.2574759,-72.890777
59,41.25905,-72.889902
60,41.25925,-72.89002
61,41.259379,-72.890096
62,41.259506,-72.890172
63,41.2637198,-72.8908254
64,41.259876,-72.890389
65,41.2637198,-72.8908254
66,41.260005,-72.890457
67,41.260305,-72.890528
68,41.2609939,-72.890488
69,41.271548,-72.888307
70,41.271317,-72.889541
71,41.273997,-72.887928
72,41.273075,-72.888103
73,41.274623,-72.888747
74,41.1796169,-73.2732265
75,41.1796169,-73.2732265
76,41.1796169,-73.2732265
77,41.274127,-72.889988
78,41.1796169,-73.2732265
79,41.1796169,-73.2732265
80,41.1796169,-73.2732265
81,41.1796169,-73.2732265
82,41.1796169,-73.2732265
83,41.274623,-72.888747
84,41.27444,-72.888868
85,41.274256,-72.888943
86,41.274069,-72.889016
87,41.273896,-72.889069
88,41.273732,-72.889167
89,41.273545,-72.889239
90,41.2734359,-72.889289
91,41.27376,-72.889764
92,41.273338,-72.889324
93,41.273214,-72.889473
94,41.273033,-72.889514
95,41.2728389,-72.8893986
96,41.272703,-72.889544
97,41.2733,-72.89084
98,41.273388,-72.891084
99,41.273538,-72.8912526
100,41.2736525,-72.8915143
101,41.273443,-72.89189
102,41.27363,-72.891895
103,41.2738103,-72.8918948
104,41.274333,-72.892107
105,41.274281,-72.8918039
106,41.27425,-72.891529
107,41.2740099,-72.8914119
108,41.2739266,-72.89121
109,41.274069,-72.890848
110,41.273886,-72.89071
111,41.27377,-72.8903969
112,41.27349,-72.890085
113,41.273275,-72.890081
114,41.273058,-72.890157
115,41.2746319,-72.890508
116,41.2747156,-72.8881522
117,41.2747857,-72.8880083
118,41.274554,-72.887467
119,41.2758028,-72.8874116
120,41.2756625,-72.8875844
121,41.275481,-72.887664
122,41.275269,-72.887734
123,41.27507,-72.887966
124,41.274993,-72.8875879
125,41.2706967,-72.8903402
126,41.274895,-72.888676
127,41.275046,-72.888596
128,41.27537,-72.888454
129,41.275535,-72.888351
130,41.275688,-72.8882299
131,41.275941,-72.887911
132,41.276091,-72.887739
133,41.275228,-72.888919
134,41.275956,-72.88865
135,41.308274,-72.9278835
136,41.2748422,-72.896256
137,41.2748422,-72.896256
138,41.2748422,-72.896256
139,41.2748422,-72.896256
140,41.2748422,-72.896256
141,41.2748422,-72.896256
142,41.2748422,-72.896256
143,41.2748422,-72.896256
144,41.2748422,-72.896256
145,41.2748422,-72.896256
146,41.2748422,-72.896256
147,41.2748422,-72.896256
148,41.2748422,-72.896256
149,41.2748422,-72.896256
150,41.2748422,-72.896256
151,41.2748422,-72.896256
152,41.2748422,-72.896256
153,41.2748422,-72.896256
154,41.2748422,-72.896256
155,41.2748422,-72.896256
156,41.2748422,-72.896256
157,41.2748422,-72.896256
158,41.2748422,-72.896256
159,41.2748422,-72.896256
160,41.2748422,-72.896256
161,41.2748422,-72.896256
162,41.2748422,-72.896256
163,41.2748422,-72.896256
164,41.2748422,-72.896256
165,41.2748422,-72.896256
166,41.2748422,-72.896256
167,41.2748422,-72.896256
168,41.2748422,-72.896256
169,41.2748422,-72.896256
170,41.2748422,-72.896256
171,41.2748422,-72.896256
172,41.2748422,-72.896256
173,41.2748422,-72.896256
174,41.2748422,-72.896256
175,41.2748422,-72.896256
176,41.2748422,-72.896256
177,41.2748422,-72.896256
178,41.2748422,-72.896256
179,41.2748422,-72.896256
180,41.2748422,-72.896256
181,41.2748422,-72.896256
182,41.2748422,-72.896256
183,41.2748422,-72.896256
184,41.2748422,-72.896256
185,41.2748422,-72.896256
186,41.2748422,-72.896256
187,41.2748422,-72.896256
188,41.2748422,-72.896256
189,41.2748422,-72.896256
190,41.2748422,-72.896256
191,41.2748422,-72.896256
192,41.2748422,-72.896256
193,41.2748422,-72.896256
194,41.2748422,-72.896256
195,41.2748422,-72.896256
196,41.2748422,-72.896256
197,41.2748422,-72.896256
198,41.2748422,-72.896256
199,41.2748422,-72.896256
200,41.2748422,-72.896256
201,41.2748422,-72.896256
202,41.2748422,-72.896256
203,41.2748422,-72.896256
204,41.2748422,-72.896256
205,41.2748422,-72.896256
206,41.2748422,-72.896256
207,41.2748422,-72.896256
208,41.2748422,-72.896256
209,41.2748422,-72.896256
210,41.2748422,-72.896256
211,41.2748422,-72.896256
212,41.2748422,-72.896256
213,41.2748422,-72.896256
214,41.2748422,-72.896256
215,41.2748422,-72.896256
216,41.2748422,-72.896256
217,41.2748422,-72.896256
218,41.2748422,-72.896256
219,41.2748422,-72.896256
220,41.2748422,-72.896256
221,41.2748422,-72.896256
222,41.2748422,-72.896256
223,41.2748422,-72.896256
224,41.2748422,-72.896256
225,41.2748422,-72.896256
226,41.2748422,-72.896256
227,41.2748422,-72.896256
228,41.2748422,-72.896256
229,41.3237531,-72.9722266
230,41.3236638,-72.9722229
231,41.308274,-72.9278835
232,41.308274,-72.9278835
233,41.308274,-72.9278835
234,41.308274,-72.9278835
235,41.308274,-72.9278835
236,41.308274,-72.9278835
237,41.308274,-72.9278835
238,41.308274,-72.9278835
239,41.3231588,-72.9718041
240,41.277106,-72.888986
241,41.276941,-72.88899
242,41.308274,-72.9278835
243,41.308274,-72.9278835
244,41.308274,-72.9278835
245,41.2765299,-72.8884599
246,41.2764593,-72.8882449
247,41.2764133,-72.8879727
248,41.2763583,-72.8877311
249,41.2763106,-72.8875438
250,41.323687,-72.971572
251,41.276976,-72.887572
252,41.277034,-72.887794
253,41.308274,-72.9278835
254,41.308274,-72.9278835
255,41.308274,-72.9278835
256,41.2769231,-72.8884885
257,41.276862,-72.888273
258,41.2767926,-72.8880643
259,41.276761,-72.887854
260,41.276713,-72.887648
261,41.308274,-72.9278835
262,41.27787,-72.8899519
263,41.277881,-72.889793
264,41.278123,-72.889484
265,41.277892,-72.889432
266,41.278313,-72.889507
267,41.27854,-72.889519
268,41.27877,-72.889527
269,41.278989,-72.889533
270,41.279208,-72.8897007
271,41.27943,-72.889685
272,41.279649,-72.889689
273,41.279869,-72.889693
274,41.2800777,-72.8897219
275,41.280308,-72.889701
276,41.280525,-72.889703
277,41.280513,-72.889308
278,41.280296,-72.8893
279,41.280096,-72.889298
280,41.279844,-72.889301
281,41.279561,-72.88919
282,41.2800424,-72.8854206
283,41.2800424,-72.8854206
284,41.2800424,-72.8854206
285,41.2800424,-72.8854206
286,41.2800424,-72.8854206
287,41.2800424,-72.8854206
