pid,location,latitude_ArcGIS,longitude_ArcGIS
1,51 SOUTH END RD,41.25195475,-72.8894999
2,75 SOUTH END RD,41.25252353,-72.88997893
3,199 SOUTH END RD,41.25466927,-72.89132629
4,11 URIAH ST,41.25494318,-72.89105006
5,181 SOUTH END RD,41.25441985,-72.89125636
6,169 SOUTH END RD,41.24709797,-72.89255826
7,173 SOUTH END RD,41.25431961,-72.89123654
8,165 SOUTH END RD,41.25403756,-72.89117477
9,161 SOUTH END RD,41.25389653,-72.89114446
10,157 SOUTH END RD,41.24724716,-72.89198831
11,153 SOUTH END RD,41.25343031,-72.89093467
12,SOUTH END RD,41.24975669,-72.88938732
13,107 SOUTH END RD,41.25316341,-72.8906596
14,101 SOUTH END RD,41.25296293,-72.89044981
15,95 SOUTH END RD,41.25281258,-72.89029945
16,SOUTH END RD,41.24975669,-72.88938732
17,91 SOUTH END RD,41.25281258,-72.89028896
18,103 SOUTH END RD,41.25298275,-72.89046962
19,SOUTH END RD,41.24975669,-72.88938732
20,URIAH ST,41.25499945,-72.88937302
21,SOUTH END RD,41.24975669,-72.88938732
22,SOUTH END RD,41.24975669,-72.88938732
23,5 DOUGLASS AV,41.2557031,-72.89111183
24,11 DOUGLASS AV,41.2557031,-72.89078082
25,17 DOUGLASS AV,41.2557031,-72.89060133
26,23 DOUGLASS AV,41.25569261,-72.89042067
27,29 DOUGLASS AV,41.25569261,-72.89023069
28,32 URIAH ST,41.25500844,-72.89031111
29,24 URIAH ST,41.25500844,-72.89058151
30,20 URIAH ST,41.25499795,-72.89075051
31,1 TOWNSEND AV,41.25510752,-72.89143585
32,1 TOWNSEND AV #A,41.25510752,-72.89143585
33,1 TOWNSEND AV #B,41.25510752,-72.89143585
34,9 TOWNSEND AV,41.25644322,-72.89094166
35,17 JOHNSTON ST,41.25647352,-72.8902808
36,30 DOUGLASS AV,41.25574856,-72.89018989
37,24 DOUGLASS AV,41.25574856,-72.89039036
38,20 DOUGLASS AV,41.25575788,-72.89058035
39,3 TOWNSEND AV,41.25597234,-72.89122256
40,3A TOWNSEND AV,41.25594401,-72.89124284
41,5 TOWNSEND AV,41.25626372,-72.89105122
42,7 TOWNSEND AV,41.25637328,-72.89099178
43,MORRIS CSWY,41.25830758,-72.89067159
44,URIAH ST,41.25499945,-72.88937302
45,MORRIS CSWY,41.25830758,-72.89067159
46,25 TOWNSEND AV,41.25761924,-72.89123421
47,19 MORRIS CSWY,41.25812508,-72.890937
48,25 MORRIS CSWY,41.25821483,-72.89075634
49,31 MORRIS CSWY,41.25831623,-72.8905955
50,39 MORRIS CSWY,41.25843628,-72.89041484
51,43 MORRIS CSWY,41.25852603,-72.89026565
52,49 MORRIS CSWY,41.25861577,-72.89012462
53,11 TOWNSEND AV,41.2567346,-72.89079014
54,13 TOWNSEND AV,41.25679521,-72.89077499
55,15 TOWNSEND AV,41.25699451,-72.8907948
56,17 TOWNSEND AV,41.25715769,-72.89089154
57,19 TOWNSEND AV,41.25728007,-72.89098479
58,21 TOWNSEND AV,41.25733951,-72.89102441
59,1209 DEAN ST,41.25902721,-72.89001157
60,1227 DEAN ST,41.25919737,-72.8901118
61,1237 DEAN ST,41.25933724,-72.89019106
62,1251 DEAN ST,41.2594771,-72.89027148
63,DEAN ST,41.26361329,-72.89072994
64,1271 DEAN ST,41.25983725,-72.89048128
65,DEAN ST,41.26361329,-72.89072994
66,1285 DEAN ST,41.25999343,-72.8905582
67,1305 DEAN ST,41.26030929,-72.89063396
68,1327 DEAN ST,41.26099929,-72.89060366
69,191 BURR ST,41.27591346,-72.88714319
70,269 BURR ST,41.27141333,-72.88981226
71,353 BURR ST,41.27430619,-72.88835068
72,425 DODGE AV,41.27117472,-72.88113245
73,392 BURR ST,41.27463254,-72.88842294
74,400 BURR ST #1,41.27499687,-72.88828721
75,400 BURR ST #2,41.27499687,-72.88828721
76,400 BURR ST #3,41.27499687,-72.88828721
77,396 BURR ST #4,41.2748145,-72.88836346
78,400 BURR ST #5,41.27499687,-72.88828721
79,400 BURR ST #6,41.27499687,-72.88828721
80,400 BURR ST #7,41.27499687,-72.88828721
81,400 BURR ST #8,41.27499687,-72.88828721
82,400 BURR ST #9,41.27499687,-72.88828721
83,392 BURR ST,41.27463254,-72.88842294
84,384 BURR ST,41.27447519,-72.88844625
85,374 BURR ST,41.27428521,-72.88841129
86,366 BURR ST,41.27427588,-72.88841129
87,360 BURR ST,41.27427588,-72.88841129
88,354 BURR ST,41.27427588,-72.88841129
89,348 BURR ST,41.27427588,-72.88841129
90,344 BURR ST,41.27427588,-72.88841129
91,342 BURR ST,41.27427588,-72.88841129
92,340 BURR ST,41.27427588,-72.88841129
93,336 BURR ST,41.27427588,-72.88841129
94,330 BURR ST,41.27427588,-72.88841129
95,320 BURR ST,41.27276419,-72.8892225
96,310 BURR ST,41.27264414,-72.88927262
97,175 TOWNSEND TER,41.27325371,-72.89060249
98,155 TOWNSEND TER,41.27359405,-72.89093117
99,147 TOWNSEND TER,41.27368379,-72.89115146
100,135 TOWNSEND TER,41.2737747,-72.89138107
101,215 HYDE ST,41.27343786,-72.89214449
102,223 HYDE ST,41.27364766,-72.89212468
103,235 HYDE ST,41.27383764,-72.89210486
104,118 TOWNSEND TER,41.27414651,-72.89217013
105,126 TOWNSEND TER,41.27406725,-72.89196034
106,132 TOWNSEND TER,41.27397634,-72.89172956
107,140 TOWNSEND TER,41.27388659,-72.89151977
108,144 TOWNSEND TER,41.27380734,-72.89130997
109,150 TOWNSEND TER,41.27371643,-72.89110017
110,158 TOWNSEND TER,41.27363717,-72.89089038
111,164 TOWNSEND TER,41.27351712,-72.89058967
112,168 TOWNSEND TER,41.27337726,-72.89047778
113,172 TOWNSEND TER,41.27335744,-72.89048827
114,176 TOWNSEND TER,41.27314765,-72.89056869
115,400 BURR ST,41.27499687,-72.88828721
116,393 BURR ST,41.27473044,-72.88831688
117,15 HOLMES ST,41.27451361,-72.88600621
118,25 HOLMES ST,41.27453151,-72.88611359
119,437 BURR ST,41.27585635,-72.88754413
120,427 BURR ST,41.27569783,-72.88773994
121,419 BURR ST,41.2755603,-72.88786465
122,409 BURR ST,41.27535284,-72.88801268
123,401 BURR ST,41.27511507,-72.88815021
124,18 HOLMES ST,41.2744657,-72.88605038
125,BURR ST,41.27370559,-72.88876581
126,402 BURR ST,41.27501778,-72.88827627
127,404 BURR ST,41.27496588,-72.88830056
128,412 BURR ST,41.27529689,-72.88813039
129,416 BURR ST,41.27541811,-72.88804881
130,420 BURR ST,41.27558012,-72.88793575
131,434 BURR ST,41.27582255,-72.88769215
132,440 BURR ST,41.27591462,-72.88756744
133,408 BURR ST,41.27503581,-72.88827026
134,428 BURR ST,41.27563023,-72.88789612
135,44 LAURA LA,41.29488135,-72.89765514
136,675 TOWNSEND AV #116,41.27505904,-72.89623306
137,675 TOWNSEND AV #117,41.27505904,-72.89623306
138,675 TOWNSEND AV #118,41.27505904,-72.89623306
139,675 TOWNSEND AV #119,41.27505904,-72.89623306
140,675 TOWNSEND AV #120,41.27505904,-72.89623306
141,675 TOWNSEND AV #121,41.27505904,-72.89623306
142,675 TOWNSEND AV #132,41.27505904,-72.89623306
143,675 TOWNSEND AV #133,41.27505904,-72.89623306
144,675 TOWNSEND AV #134,41.27505904,-72.89623306
145,675 TOWNSEND AV #135,41.27505904,-72.89623306
146,675 TOWNSEND AV #136,41.27505904,-72.89623306
147,675 TOWNSEND AV #137,41.27505904,-72.89623306
148,675 TOWNSEND AV #138,41.27505904,-72.89623306
149,675 TOWNSEND AV #139,41.27505904,-72.89623306
150,675 TOWNSEND AV #140,41.27505904,-72.89623306
151,675 TOWNSEND AV #141,41.27505904,-72.89623306
152,675 TOWNSEND AV #142,41.27505904,-72.89623306
153,675 TOWNSEND AV #143,41.27505904,-72.89623306
154,675 TOWNSEND AV #154,41.27505904,-72.89623306
155,675 TOWNSEND AV #155,41.27505904,-72.89623306
156,675 TOWNSEND AV #156,41.27505904,-72.89623306
157,675 TOWNSEND AV #157,41.27505904,-72.89623306
158,675 TOWNSEND AV #158,41.27505904,-72.89623306
159,675 TOWNSEND AV #159,41.27505904,-72.89623306
160,675 TOWNSEND AV #160,41.27505904,-72.89623306
161,675 TOWNSEND AV #161,41.27505904,-72.89623306
162,675 TOWNSEND AV #162,41.27505904,-72.89623306
163,675 TOWNSEND AV #163,41.27505904,-72.89623306
164,675 TOWNSEND AV #164,41.27505904,-72.89623306
165,675 TOWNSEND AV #165,41.27505904,-72.89623306
166,675 TOWNSEND AV #166,41.27505904,-72.89623306
167,675 TOWNSEND AV #167,41.27505904,-72.89623306
168,675 TOWNSEND AV #168,41.27505904,-72.89623306
169,675 TOWNSEND AV #169,41.27505904,-72.89623306
170,675 TOWNSEND AV #170,41.27505904,-72.89623306
171,675 TOWNSEND AV #171,41.27505904,-72.89623306
172,675 TOWNSEND AV #178,41.27505904,-72.89623306
173,675 TOWNSEND AV #179,41.27505904,-72.89623306
174,675 TOWNSEND AV #180,41.27505904,-72.89623306
175,675 TOWNSEND AV #181,41.27505904,-72.89623306
176,675 TOWNSEND AV #190,41.27505904,-72.89623306
177,675 TOWNSEND AV #191,41.27505904,-72.89623306
178,675 TOWNSEND AV #192,41.27505904,-72.89623306
179,675 TOWNSEND AV #193,41.27505904,-72.89623306
180,675 TOWNSEND AV #186,41.27505904,-72.89623306
181,675 TOWNSEND AV #187,41.27505904,-72.89623306
182,675 TOWNSEND AV #188,41.27505904,-72.89623306
183,675 TOWNSEND AV #189,41.27505904,-72.89623306
184,675 TOWNSEND AV #182,41.27505904,-72.89623306
185,675 TOWNSEND AV #183,41.27505904,-72.89623306
186,675 TOWNSEND AV #184,41.27505904,-72.89623306
187,675 TOWNSEND AV #185,41.27505904,-72.89623306
188,675 TOWNSEND AV #176,41.27505904,-72.89623306
189,675 TOWNSEND AV #177,41.27505904,-72.89623306
190,675 TOWNSEND AV #172,41.27505904,-72.89623306
191,675 TOWNSEND AV #173,41.27505904,-72.89623306
192,675 TOWNSEND AV #174,41.27505904,-72.89623306
193,675 TOWNSEND AV #175,41.27505904,-72.89623306
194,675 TOWNSEND AV #152,41.27505904,-72.89623306
195,675 TOWNSEND AV #153,41.27505904,-72.89623306
196,675 TOWNSEND AV #148,41.27505904,-72.89623306
197,675 TOWNSEND AV #149,41.27505904,-72.89623306
198,675 TOWNSEND AV #150,41.27505904,-72.89623306
199,675 TOWNSEND AV #151,41.27505904,-72.89623306
200,675 TOWNSEND AV #144,41.27505904,-72.89623306
201,675 TOWNSEND AV #145,41.27505904,-72.89623306
202,675 TOWNSEND AV #146,41.27505904,-72.89623306
203,675 TOWNSEND AV #147,41.27505904,-72.89623306
204,675 TOWNSEND AV #128,41.27505904,-72.89623306
205,675 TOWNSEND AV #129,41.27505904,-72.89623306
