"pid","location","totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
4,"11 URIAH ST",206000,3,0,2.5,140000,"12/31/2001",0,"10/22/1997",84000,"07/13/1995",0,"01/09/1990",NA,NA,1989,1792,81,"Colonial","Single Family","Average",1,"None","Average","Average",0.18,"RS2","0101",0,41.25501,-72.89095392
5,"181 SOUTH END RD",155400,3,0,1,183000,"07/29/2004",90000,"02/18/1992",NA,NA,NA,NA,NA,NA,1945,864,73,"Ranch","Single Family","Average",1,"None","Average","Average",0.36,"RS2","0101",0,41.254521425,-72.89130318
9,"161 SOUTH END RD",133100,2,0,1,142000,"06/24/2011",81500,"03/13/2002",0,"06/06/2001",115000,"05/23/2000",64000,"06/24/1999",1930,1040,63,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.14,"RS2","0101",0,41.253689765,-72.89107923
23,"5 DOUGLASS AV",179200,2,0,1.5,0,"10/16/1989",NA,NA,NA,NA,NA,NA,NA,NA,1940,1484,68,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.16,"RS2","0101",160,41.25575,-72.891266
24,"11 DOUGLASS AV",239100,3,0,2,0,"04/17/1973",NA,NA,NA,NA,NA,NA,NA,NA,1940,2124,75,"Colonial","Single Family","Ave/Good",1,"None","Average","Average",0.13,"RS2","0101",0,41.25561055,-72.891174
25,"17 DOUGLASS AV",124400,2,0,1,0,"12/30/2009",158000,"11/24/2009",0,"07/31/2008",0,"07/31/2008",0,"07/11/1981",1940,998,65,"Bungalow","Single Family","Average",1,"None","Average","Average",0.13,"RS2","0101",170,41.25575,-72.89109
26,"23 DOUGLASS AV",123400,2,0,1,0,"05/25/1979",NA,NA,NA,NA,NA,NA,NA,NA,1925,886,65,"Bungalow","Single Family","Average",1,"None","Average","Average",0.13,"RS2","0101",200,41.25575,-72.89101
27,"29 DOUGLASS AV",166300,4,0,1,245000,"07/03/2006",185000,"01/17/2006",0,"12/06/2005",0,"03/20/2003",135000,"05/04/2000",1940,1680,63,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.12,"RS2","0101",0,41.25575,-72.890915
29,"24 URIAH ST",150000,3,0,1,0,"05/18/1999",50000,"07/18/1994",NA,NA,NA,NA,NA,NA,1975,1170,77,"Raised Ranch","Single Family","Average",1,"Central","Average","Average",0.13,"RS2","0101",300,41.25500844,-72.890586755
30,"20 URIAH ST",159800,3,0,1,0,"11/13/2013",142000,"02/19/2010",32500,"02/24/1975",NA,NA,NA,NA,1969,1144,73,"Raised Ranch","Single Family","Average",1,"None","Average","Average",0.13,"RS2","0101",264,41.25507305,-72.890774005
31,"1 TOWNSEND AV",154500,2,0,1,135000,"06/30/2011",243996,"08/06/2010",215000,"12/06/2005",108000,"04/10/2001",0,"01/01/2001",1930,1264,68,"Ranch","Single Family","Average",1,"None","Average","Average",0.18,"RS2","0101",240,41.25512476,-72.891281925
32,"1 TOWNSEND AV #A",162500,2,0,1,170000,"01/18/2005",0,"05/01/1997",0,"04/29/1997",NA,NA,NA,NA,1938,1515,68,"Ranch","Single Family","Average",1,"Central","Average","Average",0.19,"RS2","0101",0,41.25512476,-72.89143585
33,"1 TOWNSEND AV #B",188700,3,0,1.5,238000,"06/10/2014",245000,"07/31/2007",0,"07/31/2007",0,"08/02/1982",NA,NA,1952,1480,78,"Ranch","Single Family","Average",1,"None","Average","Average",0.19,"RS2","0101",336,41.25512476,-72.891281925
34,"9 TOWNSEND AV",177000,3,0,1.5,185000,"07/24/2012",210000,"10/01/2007",0,NA,NA,NA,NA,NA,1927,1286,78,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.12,"RS2","0101",180,41.25653861,-72.89094166
35,"17 JOHNSTON ST",160200,3,0,1.5,0,"07/20/2000",0,"12/16/1985",NA,NA,NA,NA,NA,NA,1935,1330,63,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.29,"RS2","0101",576,41.25654,-72.890686
36,"30 DOUGLASS AV",148400,3,0,1,164461,"03/17/2006",0,"03/29/1996",0,"11/25/1995",0,"07/17/1995",0,"12/03/1992",1920,1128,73,"Colonial","Single Family","Average",1,"None","Average","Average",0.14,"RS2","0101",0,41.25576,-72.89095
37,"24 DOUGLASS AV",182600,3,0,1,0,"02/25/1985",NA,NA,NA,NA,NA,NA,NA,NA,1930,1411,75,"Cape Cod","Single Family","Above Average",1,"Central","Average","Average",0.14,"RS2","0101",0,41.25576,-72.891045
38,"20 DOUGLASS AV",176300,3,0,1,248000,"06/13/2005",0,"05/30/1984",NA,NA,NA,NA,NA,NA,1930,1773,65,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.14,"RS2","0101",220,41.25576,-72.891106
39,"3 TOWNSEND AV",243200,5,0,2,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,1935,2906,78,"2 Family","Multi-Fam 2-4","Ave/Good",2,"None","Average","Average",0.28,"RS2","0101",0,41.25590267,-72.89134
40,"3A TOWNSEND AV",150600,3,0,1,0,"05/09/2007",0,"02/14/2005",0,"12/29/2004",0,NA,NA,NA,1954,1112,68,"Ranch","Single Family","Average",1,"Central","Average","Average",0.16,"RS2","0101",0,41.255888505,-72.89134
41,"5 TOWNSEND AV",160500,1,0,1.5,0,"07/10/2014",0,"06/07/2004",78000,"08/02/1996",0,"10/05/1995",NA,NA,1920,1202,78,"Cape Cod","Single Family","Above Average",1,"Central","Average","Average",0.15,"RS2","0101",0,41.25619824,-72.89110061
42,"7 TOWNSEND AV",189400,3,0,1.5,93000,"09/30/2005",0,NA,NA,NA,NA,NA,NA,NA,1920,1467,78,"Cape Cod","Single Family","Above Average",1,"Central","Average","Average",0.14,"RS2","0101",180,41.25638076,-72.89088926
53,"11 TOWNSEND AV",167500,2,0,1,0,"09/29/2011",0,"03/19/2007",0,NA,NA,NA,NA,NA,1925,1629,73,"Bungalow","Single Family","Average",1,"None","Average","Average",0.26,"RS2","0101",209,41.2567588,-72.89079007
54,"13 TOWNSEND AV",166800,3,0,1.5,0,"10/03/2011",0,"10/03/2011",0,"10/03/2011",112000,"09/04/1986",NA,NA,1929,1461,71,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.23,"RS2","0101",0,41.25679521,-72.890785
55,"15 TOWNSEND AV",165600,3,0,1,0,"12/22/2010",118000,"08/27/1993",NA,NA,NA,NA,NA,NA,1945,1338,73,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.3,"RS2","0101",361,41.257037255,-72.8908054
56,"17 TOWNSEND AV",142700,3,0,1.5,0,"10/26/2012",80000,"12/21/2010",0,"09/14/2010",0,"03/18/2005",0,"06/04/1984",1920,1081,63,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.15,"RS2","0101",0,41.257183845,-72.89090327
57,"19 TOWNSEND AV",153800,4,0,2,66000,"08/16/1995",81000,"08/16/1995",0,"07/14/1994",NA,NA,NA,NA,1920,1894,73,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.14,"RS2","0101",0,41.257310035,-72.891014
58,"21 TOWNSEND AV",155400,3,0,2,0,"06/18/1985",NA,NA,NA,NA,NA,NA,NA,NA,1915,1942,73,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.14,"RS2","0101",180,41.257404755,-72.89112
77,"396 BURR ST #4",263500,4,0,2.5,245000,"06/30/2014",70000,"10/01/1993",NA,NA,NA,NA,NA,NA,1990,1611,88,"Raised Ranch","Single Family","Ave/Good",1,"Central","Average","Average",0.62,"RS2","0200",575,41.27486725,-72.88834973
