"totval","bedrooms","nineplus","finalbaths","price1","date1","price2","date2","price3","date3","price4","date4","price5","date5","yearbuilt","sqft","pctgood","style","model","grade","occupancy","actype","bathstyle","kstyle","acres","zone","neighborhood","garagesqft","latitude","longitude"
155600,7,0,3,137000,"07/29/1992",NA,NA,NA,NA,NA,NA,NA,NA,1915,2875,78,"3 Family","Multi-Fam 2-4","Average",3,"None","Average","Average",0.13,"RM1","1000",0,41.31454,-72.89409
149230,2,0,1.5,0,"08/16/2012",264900,"06/16/2006",205000,"07/02/2004",0,"12/03/2003",30000,"06/17/1982",1952,1041,78,"Ranch","Single Family","Average",1,"Central","Average","Average",0.22,"RS2","1200",576,41.32408817,-72.90887102
115300,5,0,2,0,"09/01/1998",0,"05/28/1998",0,"10/10/1989",NA,NA,NA,NA,1900,2589,78,"2 Family","Multi-Fam 2-4","Above Average",2,"None","Average","Average",0.19,"RM2","1600",380,41.32016745,-72.9325538
505700,3,0,3,283000,"12/31/1998",320000,"06/01/1992",320000,"07/27/1990",NA,NA,NA,NA,1850,3374,78,"Cape Cod","Single Family","Vg/Exc",1,"None","Average","Average",0.64,"RS2","2400",380,41.31940652,-72.96997613
94400,2,0,1,54000,"01/30/2001",0,"01/08/1974",NA,NA,NA,NA,NA,NA,1944,882,68,"Ranch","Single Family","Below Average",1,"None","Average","Average",0.15,"RM1","0700",0,41.30992784,-72.8754276733333
245400,3,0,2,0,"11/19/2002",120000,"08/22/1996",136000,"05/08/1991",NA,NA,NA,NA,1900,1380,78,"Colonial","Single Family","Above Average",1,"None","Average","Average",0.22,"RM1","2400",256,41.32533878,-72.96656748
113100,2,0,1,170000,"09/10/2008",45000,"07/08/1994",NA,NA,NA,NA,NA,NA,1947,720,78,"Cape Cod","Single Family","Average",1,"None","Average","Average",0.14,"RM1","2600",232,41.33197581,-72.97074028
73700,4,0,2,0,"08/12/2009",29900,"08/12/2009",0,"08/20/2007",0,"08/30/2005",0,"09/12/2003",1900,1734,68,"2 Family","Multi-Fam 2-4","Average",2,"None","Average","Average",0.08,"RM2","2000",0,41.2950852833333,-72.94170924
189600,6,0,3,0,"10/25/1991",NA,NA,NA,NA,NA,NA,NA,NA,1900,2787,78,"3 Family","Multi-Fam 2-4","Ave/Good",3,"Central","Average","Average",0.17,"RM2","1800",2040,41.310192945,-72.93656568
189400,4,0,1.5,0,"08/06/1973",NA,NA,NA,NA,NA,NA,NA,NA,1920,1516,68,"Cape Cod","Single Family","Above Average",1,"None","Average","Average",0.08,"RS2","0101",0,41.25889202,-72.89225
126800,3,0,1,0,"11/01/1996",55000,"03/18/1987",NA,NA,NA,NA,NA,NA,1959,1088,68,"Ranch","Single Family","Average",1,"None","Average","Average",0.27,"RM1","0600",0,41.30950731,-72.87355866
159400,4,0,2,0,"02/15/2001",0,"10/27/1988",0,"06/01/1981",NA,NA,NA,NA,1890,1124,68,"Colonial","Single Family","Above Average",1,"Central","Average","Average",0.4,"RS2","0600",1400,41.305187,-72.87761
200100,9,1,3,127500,"11/21/1996",0,"05/01/1996",0,"12/30/1988",NA,NA,NA,NA,1954,4634,63,"3 Family","Multi-Fam 2-4","Ave/Good",3,"None","Average","Average",0.2,"RM2","2200",360,41.31548311,-72.94408
