20 02 2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Women's 10m Platform,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haut-vol 10 m - femmes Preliminary éliminatoires,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dive List,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Liste de plongeon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Start Order,,Name,,,,,,,,,,,,,Ctry Code,,,,Round 1,,,,,,,,,,,Round 2,,,,,,,,,,,Round 3,,,,,,,,,Round 4,,,,,,,,,,Round 5,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,Dive No.,,,,,,,DD,,,,Dive No.,,,,,,,DD,,,,Dive No.,,,,,,DD,,,Dive No.,,,,,,,DD,,,Dive No.,,,,,,,DD,,,,,,,,,,,,,,,,,
1,,ORTIZ Tatiana,,,,,,,,,,,,,MEX,,,,107B,,,,,,,3.0,,,,626C,,,,,,,3.3,,,,207C,,,,,,3.3,,,407C,,,,,,,3.2,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
2,,RAMIREZ Lisette,,,,,,,,,,,,,VEN,,,,107B,,,,,,,3.0,,,,6241B,,,,,,,2.7,,,,5253B,,,,,,3.2,,,205B,,,,,,,2.9,,,407C,,,,,,,3.2,,,,,,,,,,,,,,,,,
3,,GOVOR Daria,,,,,,,,,,,,,RUS,,,,107B,,,,,,,3.0,,,,407C,,,,,,,3.2,,,,207C,,,,,,3.3,,,5253B,,,,,,,3.2,,,614B,,,,,,,2.4,,,,,,,,,,,,,,,,,
4,,BETANCOURT Maria,,,,,,,,,,,,,VEN,,,,405B,,,,,,,2.8,,,,107B,,,,,,,3.0,,,,205B,,,,,,2.9,,,6241B,,,,,,,2.7,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
5,,NAKAGAWA Mai,,,,,,,,,,,,,JPN,,,,405B,,,,,,,2.8,,,,107B,,,,,,,3.0,,,,207C,,,,,,3.3,,,305B,,,,,,,2.9,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
6,,BELL Katie,,,,,,,,,,,,,USA,,,,107B,,,,,,,3.0,,,,305B,,,,,,,2.9,,,,407C,,,,,,3.2,,,207C,,,,,,,3.3,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
7,,BATKI Noemi,,,,,,,,,,,,,ITA,,,,107B,,,,,,,3.0,,,,205B,,,,,,,2.9,,,,5253B,,,,,,3.2,,,407C,,,,,,,3.2,,,305C,,,,,,,2.7,,,,,,,,,,,,,,,,,
8,,MARTINEZ Angely,,,,,,,,,,,,,PUR,,,,614B,,,,,,,2.4,,,,205B,,,,,,,2.9,,,,5251B,,,,,,2.6,,,407C,,,,,,,3.2,,,107B,,,,,,,3.0,,,,,,,,,,,,,,,,,
9,,CHO Eunbi,,,,,,,,,,,,,KOR,,,,405B,,,,,,,2.8,,,,107B,,,,,,,3.0,,,,205B,,,,,,2.9,,,5253B,,,,,,,3.2,,,626C,,,,,,,3.3,,,,,,,,,,,,,,,,,
10,,POPOVICI Corina,,,,,,,,,,,,,ROU,,,,405B,,,,,,,2.8,,,,6243D,,,,,,,3.2,,,,205B,,,,,,2.9,,,107B,,,,,,,3.0,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
11,,MENDOZA Carolina,,,,,,,,,,,,,MEX,,,,107B,,,,,,,3.0,,,,305C,,,,,,,2.7,,,,626C,,,,,,3.3,,,407C,,,,,,,3.2,,,5253B,,,,,,,3.2,,,,,,,,,,,,,,,,,
12,,POWELL Stacie,,,,,,,,,,,,,GBR,,,,5253B,,,,,,,3.2,,,,6243D,,,,,,,3.2,,,,207C,,,,,,3.3,,,107B,,,,,,,3.0,,,407C,,,,,,,3.2,,,,,,,,,,,,,,,,,
