"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M3mSB","Preliminary","QIN Kai","CHN",1,1,3,9,"BRUN Aristid","AUS"
"M3mSB","Preliminary","QIN Kai","CHN",1,1,3,9,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","QIN Kai","CHN",1,1,3,9,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","QIN Kai","CHN",1,1,3,9,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","QIN Kai","CHN",1,1,3,8.5,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","QIN Kai","CHN",1,1,3,9,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","QIN Kai","CHN",1,1,3,9,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","QIN Kai","CHN",1,2,3.4,8.5,"BRUN Aristid","AUS"
"M3mSB","Preliminary","QIN Kai","CHN",1,2,3.4,8.5,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","QIN Kai","CHN",1,2,3.4,8,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","QIN Kai","CHN",1,2,3.4,8.5,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","QIN Kai","CHN",1,2,3.4,8.5,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","QIN Kai","CHN",1,2,3.4,9,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","QIN Kai","CHN",1,2,3.4,9,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","QIN Kai","CHN",1,3,3.5,9,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","QIN Kai","CHN",1,3,3.5,9,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","QIN Kai","CHN",1,3,3.5,9,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","QIN Kai","CHN",1,3,3.5,8,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","QIN Kai","CHN",1,3,3.5,8.5,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","QIN Kai","CHN",1,3,3.5,8.5,"ITO Masaaki","JPN"
"M3mSB","Preliminary","QIN Kai","CHN",1,3,3.5,9,"MANZONI Renato","ITA"
"M3mSB","Preliminary","QIN Kai","CHN",1,4,3.4,8.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","QIN Kai","CHN",1,4,3.4,8.5,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","QIN Kai","CHN",1,4,3.4,7.5,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","QIN Kai","CHN",1,4,3.4,7.5,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","QIN Kai","CHN",1,4,3.4,8,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","QIN Kai","CHN",1,4,3.4,7.5,"ITO Masaaki","JPN"
"M3mSB","Preliminary","QIN Kai","CHN",1,4,3.4,7,"MANZONI Renato","ITA"
"M3mSB","Preliminary","QIN Kai","CHN",1,5,3.8,8.5,"BRUN Aristid","AUS"
"M3mSB","Preliminary","QIN Kai","CHN",1,5,3.8,8.5,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","QIN Kai","CHN",1,5,3.8,9,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","QIN Kai","CHN",1,5,3.8,8.5,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","QIN Kai","CHN",1,5,3.8,9,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","QIN Kai","CHN",1,5,3.8,9,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","QIN Kai","CHN",1,5,3.8,9,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","QIN Kai","CHN",1,6,3.3,7.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","QIN Kai","CHN",1,6,3.3,8,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","QIN Kai","CHN",1,6,3.3,8.5,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","QIN Kai","CHN",1,6,3.3,8.5,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","QIN Kai","CHN",1,6,3.3,8.5,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","QIN Kai","CHN",1,6,3.3,8,"ITO Masaaki","JPN"
"M3mSB","Preliminary","QIN Kai","CHN",1,6,3.3,8.5,"MANZONI Renato","ITA"
"M3mSB","Preliminary","HE Chong","CHN",2,1,3,8,"BRUN Aristid","AUS"
"M3mSB","Preliminary","HE Chong","CHN",2,1,3,7.5,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","HE Chong","CHN",2,1,3,8,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","HE Chong","CHN",2,1,3,8,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","HE Chong","CHN",2,1,3,8.5,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","HE Chong","CHN",2,1,3,8,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","HE Chong","CHN",2,1,3,8,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","HE Chong","CHN",2,2,3.4,8,"BRUN Aristid","AUS"
"M3mSB","Preliminary","HE Chong","CHN",2,2,3.4,8.5,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","HE Chong","CHN",2,2,3.4,8.5,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","HE Chong","CHN",2,2,3.4,8,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","HE Chong","CHN",2,2,3.4,8.5,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","HE Chong","CHN",2,2,3.4,8.5,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","HE Chong","CHN",2,2,3.4,8.5,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","HE Chong","CHN",2,3,3.5,8.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","HE Chong","CHN",2,3,3.5,8.5,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","HE Chong","CHN",2,3,3.5,8,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","HE Chong","CHN",2,3,3.5,8.5,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","HE Chong","CHN",2,3,3.5,8.5,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","HE Chong","CHN",2,3,3.5,8.5,"ITO Masaaki","JPN"
"M3mSB","Preliminary","HE Chong","CHN",2,3,3.5,8.5,"MANZONI Renato","ITA"
"M3mSB","Preliminary","HE Chong","CHN",2,4,3.4,8.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","HE Chong","CHN",2,4,3.4,8,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","HE Chong","CHN",2,4,3.4,8,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","HE Chong","CHN",2,4,3.4,8,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","HE Chong","CHN",2,4,3.4,8,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","HE Chong","CHN",2,4,3.4,8,"ITO Masaaki","JPN"
"M3mSB","Preliminary","HE Chong","CHN",2,4,3.4,8.5,"MANZONI Renato","ITA"
"M3mSB","Preliminary","HE Chong","CHN",2,5,3.8,6.5,"BRUN Aristid","AUS"
"M3mSB","Preliminary","HE Chong","CHN",2,5,3.8,7,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","HE Chong","CHN",2,5,3.8,7,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","HE Chong","CHN",2,5,3.8,7.5,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","HE Chong","CHN",2,5,3.8,7.5,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","HE Chong","CHN",2,5,3.8,7.5,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","HE Chong","CHN",2,5,3.8,7.5,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","HE Chong","CHN",2,6,3.9,8,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","HE Chong","CHN",2,6,3.9,8,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","HE Chong","CHN",2,6,3.9,7.5,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","HE Chong","CHN",2,6,3.9,7.5,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","HE Chong","CHN",2,6,3.9,7,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","HE Chong","CHN",2,6,3.9,7,"ITO Masaaki","JPN"
"M3mSB","Preliminary","HE Chong","CHN",2,6,3.9,8,"MANZONI Renato","ITA"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,1,3,8.5,"BRUN Aristid","AUS"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,1,3,8,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,1,3,8.5,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,1,3,8.5,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,1,3,8,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,1,3,7.5,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,1,3,8,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,2,3.1,8,"BRUN Aristid","AUS"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,2,3.1,8,"ROSLAN Rossharisham","MAS"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,2,3.1,7.5,"AXTELIUS Peter","SWE"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,2,3.1,7.5,"MIRZA KHANLARI Gholamreza","IRI"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,2,3.1,7.5,"SOROKINA Anna","UKR"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,2,3.1,8,"BANUELOS Ricardo","MEX"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,2,3.1,7.5,"BOUSSARD Michel","FRA"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,3,3.8,8,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,3,3.8,8.5,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,3,3.8,8.5,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,3,3.8,8.5,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,3,3.8,8,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,3,3.8,8.5,"ITO Masaaki","JPN"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,3,3.8,8.5,"MANZONI Renato","ITA"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,4,3.4,8.5,"BARBOSA Ana Virginia","BRA"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,4,3.4,7.5,"TOULOUDIS Nikolaos","GRE"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,4,3.4,8,"BEDDOE Valerie","AUS"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,4,3.4,7.5,"SHOLTIS Christina","USA"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,4,3.4,7,"STRITT BURK Carmen","SUI"
"M3mSB","Preliminary","WARREN Ethan","AUS",3,4,3.4,7.5,"ITO Masaaki","JPN"
