"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"M10mPF","Preliminary","LIN Yue","CHN","1",1,"3.2","9.0","BRAWLEY Nancy Jean","CAN"
"M10mPF","Preliminary","LIN Yue","CHN","1",1,"3.2","9.0","KELEMEN Ildiko","HUN"
"M10mPF","Preliminary","LIN Yue","CHN","1",1,"3.2","9.0","ANPING Cheng","CHN"
"M10mPF","Preliminary","LIN Yue","CHN","1",1,"3.2","9.0","FABER Marc","NED"
"M10mPF","Preliminary","LIN Yue","CHN","1",1,"3.2","8.5","LATIMER Simon James","NZL"
"M10mPF","Preliminary","LIN Yue","CHN","1",1,"3.2","9.0","VINOGRADOV Alexandr","RUS"
"M10mPF","Preliminary","LIN Yue","CHN","1",1,"3.2","9.0","RIOS HENAO Maria C.","COL"
"M10mPF","Preliminary","LIN Yue","CHN","1",2,"3.3","9.5","BRAWLEY Nancy Jean","CAN"
"M10mPF","Preliminary","LIN Yue","CHN","1",2,"3.3","9.0","KELEMEN Ildiko","HUN"
"M10mPF","Preliminary","LIN Yue","CHN","1",2,"3.3","9.5","ANPING Cheng","CHN"
"M10mPF","Preliminary","LIN Yue","CHN","1",2,"3.3","9.5","FABER Marc","NED"
"M10mPF","Preliminary","LIN Yue","CHN","1",2,"3.3","9.0","LATIMER Simon James","NZL"
"M10mPF","Preliminary","LIN Yue","CHN","1",2,"3.3","8.0","VINOGRADOV Alexandr","RUS"
"M10mPF","Preliminary","LIN Yue","CHN","1",2,"3.3","9.0","RIOS HENAO Maria C.","COL"
"M10mPF","Preliminary","LIN Yue","CHN","1",3,"3.6","6.5","BRAWLEY Nancy Jean","CAN"
"M10mPF","Preliminary","LIN Yue","CHN","1",3,"3.6","6.0","KELEMEN Ildiko","HUN"
"M10mPF","Preliminary","LIN Yue","CHN","1",3,"3.6","7.0","ANPING Cheng","CHN"
"M10mPF","Preliminary","LIN Yue","CHN","1",3,"3.6","5.5","FABER Marc","NED"
"M10mPF","Preliminary","LIN Yue","CHN","1",3,"3.6","7.0","LATIMER Simon James","NZL"
"M10mPF","Preliminary","LIN Yue","CHN","1",3,"3.6","6.5","VINOGRADOV Alexandr","RUS"
"M10mPF","Preliminary","LIN Yue","CHN","1",3,"3.6","6.5","RIOS HENAO Maria C.","COL"
"M10mPF","Preliminary","LIN Yue","CHN","1",4,"3.7","8.0","TELLEFSEN Arne","NOR"
"M10mPF","Preliminary","LIN Yue","CHN","1",4,"3.7","9.0","CHONG HON KEO Kelvin",NA
"M10mPF","Preliminary","LIN Yue","CHN","1",4,"3.7","8.0","SOROKINA Anna","UKR"
"M10mPF","Preliminary","LIN Yue","CHN","1",4,"3.7","8.5","CHOI Ka Wah","HKG"
"M10mPF","Preliminary","LIN Yue","CHN","1",4,"3.7","8.5","DURAN PALACIOS Ricardo Andres","CHI"
