"Judge","Jcountry","JGender","Round","Jno"
"BRAWLEY Nancy Jean","CAN","F","Preliminary","1"
"KELEMEN Ildiko","HUN","F","Preliminary","2"
"ANPING Cheng","CHN","M","Preliminary","3"
"FABER Marc","NED","M","Preliminary","4"
"LATIMER Simon James","NZL","M","Preliminary","5"
"VINOGRADOV Alexandr","RUS","M","Preliminary","6"
"RIOS HENAO Maria C.","COL","F","Preliminary","7"
"TELLEFSEN Arne","NOR","M","Preliminary","8"
"CHONG HON KEO Kelvin",NA,NA,"Preliminary","9"
"SOROKINA Anna","UKR","F","Preliminary","10"
"CHOI Ka Wah","HKG","F","Preliminary","11"
"DURAN PALACIOS Ricardo Andres","CHI","M","Preliminary","12"
"NOVOTNA Hana","CZE","F","Preliminary","13"
"RUIZ Rolando","CUB","M","Preliminary","14"
"BRAWLEY Nancy Jean","CAN","F","Semifinal","1"
"NOVOTNA Hana","CZE","F","Semifinal","2"
"ITO Masaaki","JPN","M","Semifinal","3"
"TOULOUDIS Nikolaos","GRE","M","Semifinal","4"
"LATIMER Simon James","NZL","M","Semifinal","5"
"DURAN PALACIOS Ricardo Andres","CHI","M","Semifinal","6"
"FABER Marc","NED","M","Semifinal","7"
"BRUN Aristid",NA,NA,"Final","1"
"BRAWLEY Nancy Jean","CAN","F","Final","2"
"BOUSSARD Michel","FRA","M","Final","3"
"TSUI Wing Hung","HKG","M","Final","4"
"MANZONI Renato","ITA","M","Final","5"
"RUIZ Rolando","CUB","M","Final","6"
"TELLEFSEN Arne","NOR","M","Final","7"
