"Judge","Jcountry","JGender","Round","Jno"
"BRUN Aristid",NA,NA,"Preliminary","1"
"ROSLAN Rossharisham","MAS","M","Preliminary","2"
"AXTELIUS Peter","SWE","M","Preliminary","3"
"MIRZA KHANLARI Gholamreza","IRI","M","Preliminary","4"
"SOROKINA Anna","UKR","F","Preliminary","5"
"BANUELOS Ricardo","MEX","M","Preliminary","6"
"BOUSSARD Michel","FRA","M","Preliminary","7"
"BARBOSA Ana Virginia","BRA","F","Preliminary","8"
"TOULOUDIS Nikolaos","GRE","M","Preliminary","9"
"BEDDOE Valerie","AUS","F","Preliminary","10"
"SHOLTIS Christina","USA","F","Preliminary","11"
"STRITT BURK Carmen","SUI","F","Preliminary","12"
"ITO Masaaki","JPN","M","Preliminary","13"
"MANZONI Renato","ITA","M","Preliminary","14"
"RUIZ Rolando","CUB","M","Semifinal","1"
"NOVOTNA Hana","CZE","F","Semifinal","2"
"ROSLAN Rossharisham","MAS","M","Semifinal","3"
"AXTELIUS Peter","SWE","M","Semifinal","4"
"LATIMER Simon James","NZL","M","Semifinal","5"
"CALDERON RODRIGUEZ Felix","PUR","M","Semifinal","6"
"KELEMEN Ildiko","HUN","F","Semifinal","7"
"TELLEFSEN Arne","NOR","M","Final","1"
"RUIZ Rolando","CUB","M","Final","2"
"BRUN Aristid",NA,NA,"Final","3"
"DIETRICH Monika","GER","F","Final","4"
"ROSLAN Rossharisham","MAS","M","Final","5"
"DURAN PALACIOS Ricardo Andres","CHI","M","Final","6"
"BOUSSARD Michel","FRA","M","Final","7"
