"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",1,"3.0","9.0","BEDDOE Valerie","AUS"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",1,"3.0","9.0","FABER Marc","NED"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",1,"3.0","9.0","RAO Lang","CHN"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",1,"3.0","8.5","TELLEFSEN Arne","NOR"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",1,"3.0","9.0","SHOLTIS Christina","USA"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",1,"3.0","9.0","SAGE Christopher","GBR"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",1,"3.0","9.0","RUIZ Rolando","CUB"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",2,"3.2","8.5","BEDDOE Valerie","AUS"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",2,"3.2","8.0","FABER Marc","NED"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",2,"3.2","9.0","RAO Lang","CHN"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",2,"3.2","8.5","TELLEFSEN Arne","NOR"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",2,"3.2","8.5","SHOLTIS Christina","USA"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",2,"3.2","8.5","SAGE Christopher","GBR"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",2,"3.2","9.0","RUIZ Rolando","CUB"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",3,"3.2","7.5","BEDDOE Valerie","AUS"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",3,"3.2","8.0","FABER Marc","NED"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",3,"3.2","8.5","RAO Lang","CHN"
"W10mPF","Preliminary","CHEN Ruolin","CHN","1",3,"3.2","8.5","TELLEFSEN Arne","NOR"
