"Judge","Jcountry","JGender","Round","Jno"
"BEDDOE Valerie","AUS","F","Preliminary","1"
"FABER Marc","NED","M","Preliminary","2"
"RAO Lang","CHN","F","Preliminary","3"
"TELLEFSEN Arne","NOR","M","Preliminary","4"
"SHOLTIS Christina","USA","F","Preliminary","5"
"SAGE Christopher","GBR","M","Preliminary","6"
"RUIZ Rolando","CUB","M","Preliminary","7"
"CALDERON RODRIGUEZ Felix","PUR","M","Preliminary","8"
"KELEMEN Ildiko","HUN","F","Preliminary","9"
"VYAS Mayur","IND","M","Preliminary","10"
"ALT Walter","GER","M","Preliminary","11"
"LEE William","SIN","M","Preliminary","12"
"BRAWLEY Nancy Jean","CAN","F","Preliminary","13"
"VINOGRADOV Alexandr","RUS","M","Preliminary","14"
"BARBOSA Ana Virginia","BRA","F","Semifinal","1"
"TOULOUDIS Nikolaos","GRE","M","Semifinal","2"
"VYAS Mayur","IND","M","Semifinal","3"
"ILIES Daniela Mihael","ROU","M","Semifinal","4"
"RUIZ Rolando","CUB","M","Semifinal","5"
"SOROKINA Anna","UKR","F","Semifinal","6"
"LATIMER Simon James","NZL","M","Semifinal","7"
"RUIZ Rolando","CUB","M","Final","1"
"NOVOTNA Hana","CZE","F","Final","2"
"ROSLAN Rossharisham","MAS","M","Final","3"
"AXTELIUS Peter","SWE","M","Final","4"
"LATIMER Simon James","NZL","M","Final","5"
"CALDERON RODRIGUEZ Felix","PUR","M","Final","6"
"KELEMEN Ildiko","HUN","F","Final","7"
