"Event","Round","Diver","Country","Rank","DiveNo","Difficulty","JScore","Judge","JCountry"
"W3mSB","Preliminary","WU Minxia","CHN","1",1,"3.0","8.5","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","WU Minxia","CHN","1",1,"3.0","8.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","WU Minxia","CHN","1",1,"3.0","8.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","WU Minxia","CHN","1",1,"3.0","8.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","WU Minxia","CHN","1",1,"3.0","8.5","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","WU Minxia","CHN","1",1,"3.0","8.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","WU Minxia","CHN","1",1,"3.0","8.0","ROCHA Sergio",NA
"W3mSB","Preliminary","WU Minxia","CHN","1",2,"2.9","8.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","WU Minxia","CHN","1",2,"2.9","8.5","DIETRICH Monika","GER"
"W3mSB","Preliminary","WU Minxia","CHN","1",2,"2.9","8.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","WU Minxia","CHN","1",2,"2.9","8.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","WU Minxia","CHN","1",2,"2.9","8.5","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","WU Minxia","CHN","1",2,"2.9","8.0","MANZONI Renato","ITA"
"W3mSB","Preliminary","WU Minxia","CHN","1",2,"2.9","8.5","ROCHA Sergio",NA
"W3mSB","Preliminary","WU Minxia","CHN","1",3,"3.1","8.5","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","WU Minxia","CHN","1",3,"3.1","7.5","DIETRICH Monika","GER"
"W3mSB","Preliminary","WU Minxia","CHN","1",3,"3.1","8.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","WU Minxia","CHN","1",3,"3.1","8.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","WU Minxia","CHN","1",3,"3.1","8.5","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","WU Minxia","CHN","1",3,"3.1","8.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","WU Minxia","CHN","1",3,"3.1","8.5","ROCHA Sergio",NA
"W3mSB","Preliminary","WU Minxia","CHN","1",4,"3.0","8.0","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","WU Minxia","CHN","1",4,"3.0","8.0","PACHECO Caroline","PUR"
"W3mSB","Preliminary","WU Minxia","CHN","1",4,"3.0","8.0","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","WU Minxia","CHN","1",4,"3.0","8.5","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","WU Minxia","CHN","1",4,"3.0","8.5","SAGE Christopher","GBR"
"W3mSB","Preliminary","WU Minxia","CHN","1",4,"3.0","8.5","LATIMER Simon James","NZL"
"W3mSB","Preliminary","WU Minxia","CHN","1",4,"3.0","7.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","WU Minxia","CHN","1",5,"3.0","8.0","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","WU Minxia","CHN","1",5,"3.0","7.5","PACHECO Caroline","PUR"
"W3mSB","Preliminary","WU Minxia","CHN","1",5,"3.0","9.0","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","WU Minxia","CHN","1",5,"3.0","8.5","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","WU Minxia","CHN","1",5,"3.0","9.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","WU Minxia","CHN","1",5,"3.0","8.5","LATIMER Simon James","NZL"
"W3mSB","Preliminary","WU Minxia","CHN","1",5,"3.0","8.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","HE Zi","CHN","2",1,"3.0","8.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","HE Zi","CHN","2",1,"3.0","8.5","DIETRICH Monika","GER"
"W3mSB","Preliminary","HE Zi","CHN","2",1,"3.0","8.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","HE Zi","CHN","2",1,"3.0","8.5","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","HE Zi","CHN","2",1,"3.0","8.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","HE Zi","CHN","2",1,"3.0","7.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","HE Zi","CHN","2",1,"3.0","8.0","ROCHA Sergio",NA
"W3mSB","Preliminary","HE Zi","CHN","2",2,"3.1","6.5","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","HE Zi","CHN","2",2,"3.1","8.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","HE Zi","CHN","2",2,"3.1","8.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","HE Zi","CHN","2",2,"3.1","7.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","HE Zi","CHN","2",2,"3.1","8.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","HE Zi","CHN","2",2,"3.1","7.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","HE Zi","CHN","2",2,"3.1","7.0","ROCHA Sergio",NA
"W3mSB","Preliminary","HE Zi","CHN","2",3,"3.0","8.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","HE Zi","CHN","2",3,"3.0","9.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","HE Zi","CHN","2",3,"3.0","9.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","HE Zi","CHN","2",3,"3.0","7.5","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","HE Zi","CHN","2",3,"3.0","8.5","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","HE Zi","CHN","2",3,"3.0","8.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","HE Zi","CHN","2",3,"3.0","7.5","ROCHA Sergio",NA
"W3mSB","Preliminary","HE Zi","CHN","2",4,"3.0","8.0","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","HE Zi","CHN","2",4,"3.0","8.0","PACHECO Caroline","PUR"
"W3mSB","Preliminary","HE Zi","CHN","2",4,"3.0","8.5","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","HE Zi","CHN","2",4,"3.0","8.5","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","HE Zi","CHN","2",4,"3.0","9.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","HE Zi","CHN","2",4,"3.0","9.0","LATIMER Simon James","NZL"
"W3mSB","Preliminary","HE Zi","CHN","2",4,"3.0","8.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","HE Zi","CHN","2",5,"3.0","7.5","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","HE Zi","CHN","2",5,"3.0","8.0","PACHECO Caroline","PUR"
"W3mSB","Preliminary","HE Zi","CHN","2",5,"3.0","7.5","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","HE Zi","CHN","2",5,"3.0","8.0","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","HE Zi","CHN","2",5,"3.0","8.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","HE Zi","CHN","2",5,"3.0","8.0","LATIMER Simon James","NZL"
"W3mSB","Preliminary","HE Zi","CHN","2",5,"3.0","7.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",1,"3.0","8.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",1,"3.0","8.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",1,"3.0","8.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",1,"3.0","8.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",1,"3.0","8.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",1,"3.0","8.0","MANZONI Renato","ITA"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",1,"3.0","7.5","ROCHA Sergio",NA
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",2,"3.0","7.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",2,"3.0","7.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",2,"3.0","7.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",2,"3.0","7.5","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",2,"3.0","6.5","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",2,"3.0","7.0","MANZONI Renato","ITA"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",2,"3.0","7.0","ROCHA Sergio",NA
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",3,"3.1","7.5","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",3,"3.1","8.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",3,"3.1","7.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",3,"3.1","7.5","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",3,"3.1","6.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",3,"3.1","7.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",3,"3.1","7.5","ROCHA Sergio",NA
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",4,"3.0","7.0","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",4,"3.0","7.0","PACHECO Caroline","PUR"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",4,"3.0","7.0","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",4,"3.0","6.5","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",4,"3.0","7.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",4,"3.0","7.0","LATIMER Simon James","NZL"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",4,"3.0","6.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",5,"3.0","8.5","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",5,"3.0","8.5","PACHECO Caroline","PUR"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",5,"3.0","9.0","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",5,"3.0","7.5","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",5,"3.0","9.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",5,"3.0","8.5","LATIMER Simon James","NZL"
"W3mSB","Preliminary","CAGNOTTO Tania","ITA","3",5,"3.0","8.0","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",1,"3.0","7.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",1,"3.0","6.5","DIETRICH Monika","GER"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",1,"3.0","6.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",1,"3.0","6.5","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",1,"3.0","7.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",1,"3.0","6.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",1,"3.0","6.0","ROCHA Sergio",NA
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",2,"3.0","7.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",2,"3.0","8.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",2,"3.0","7.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",2,"3.0","8.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",2,"3.0","8.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",2,"3.0","7.0","MANZONI Renato","ITA"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",2,"3.0","8.0","ROCHA Sergio",NA
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",3,"3.1","7.5","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",3,"3.1","8.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",3,"3.1","8.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",3,"3.1","8.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",3,"3.1","7.5","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",3,"3.1","7.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",3,"3.1","8.0","ROCHA Sergio",NA
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",4,"3.0","7.5","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",4,"3.0","7.5","PACHECO Caroline","PUR"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",4,"3.0","8.0","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",4,"3.0","7.0","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",4,"3.0","8.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",4,"3.0","8.0","LATIMER Simon James","NZL"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",4,"3.0","7.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",5,"3.0","7.0","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",5,"3.0","7.5","PACHECO Caroline","PUR"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",5,"3.0","7.5","BOUSSARD Michel","FRA"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",5,"3.0","7.5","LER SOON TIEN Damien","SIN"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",5,"3.0","8.0","SAGE Christopher","GBR"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",5,"3.0","7.5","LATIMER Simon James","NZL"
"W3mSB","Preliminary","STRATTON Sharleen","AUS","4",5,"3.0","7.5","AXTELIUS Peter","SWE"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",1,"3.0","8.0","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",1,"3.0","7.5","DIETRICH Monika","GER"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",1,"3.0","7.5","ITO Masaaki","JPN"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",1,"3.0","7.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",1,"3.0","7.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",1,"3.0","7.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",1,"3.0","7.0","ROCHA Sergio",NA
"W3mSB","Preliminary","LOUKAS Christina","USA","5",2,"3.1","7.5","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",2,"3.1","7.0","DIETRICH Monika","GER"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",2,"3.1","7.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",2,"3.1","7.0","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",2,"3.1","8.0","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",2,"3.1","7.5","MANZONI Renato","ITA"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",2,"3.1","7.5","ROCHA Sergio",NA
"W3mSB","Preliminary","LOUKAS Christina","USA","5",3,"3.0","7.5","BARBOSA Ana Virginia","BRA"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",3,"3.0","7.5","DIETRICH Monika","GER"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",3,"3.0","8.0","ITO Masaaki","JPN"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",3,"3.0","7.5","NOVOTNA Hana","CZE"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",3,"3.0","7.5","TSUI Wing Hung","HKG"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",3,"3.0","8.0","MANZONI Renato","ITA"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",3,"3.0","8.0","ROCHA Sergio",NA
"W3mSB","Preliminary","LOUKAS Christina","USA","5",4,"3.0","7.0","ILIES Daniela Mihael","ROU"
"W3mSB","Preliminary","LOUKAS Christina","USA","5",4,"3.0","8.0","PACHECO Caroline","PUR"
