"Judge","Jcountry","JGender","Round","Jno"
"BARBOSA Ana Virginia","BRA","F","Preliminary","1"
"DIETRICH Monika","GER","F","Preliminary","2"
"ITO Masaaki","JPN","M","Preliminary","3"
"NOVOTNA Hana","CZE","F","Preliminary","4"
"TSUI Wing Hung","HKG","M","Preliminary","5"
"MANZONI Renato","ITA","M","Preliminary","6"
"ROCHA Sergio",NA,NA,"Preliminary","7"
"ILIES Daniela Mihael","ROU","M","Preliminary","8"
"PACHECO Caroline","PUR","F","Preliminary","9"
"BOUSSARD Michel","FRA","M","Preliminary","10"
"LER SOON TIEN Damien","SIN","F","Preliminary","11"
"SAGE Christopher","GBR","M","Preliminary","12"
"LATIMER Simon James","NZL","M","Preliminary","13"
"AXTELIUS Peter","SWE","M","Preliminary","14"
"FABER Marc","NED","M","Semifinal","1"
"ITO Masaaki","JPN","M","Semifinal","2"
"DURAN PALACIOS Ricardo Andres","CHI","M","Semifinal","3"
"VINOGRADOV Alexandr","RUS","M","Semifinal","4"
"LEE William","SIN","M","Semifinal","5"
"RUIZ Rolando","CUB","M","Semifinal","6"
"STRITT BURK Carmen","SUI","F","Semifinal","7"
"ALT Walter","GER","M","Final","1"
"RIOS HENAO Maria C.","COL","F","Final","2"
"ILIES Daniela Mihael","ROU","M","Final","3"
"DURAN PALACIOS Ricardo Andres","CHI","M","Final","4"
"KELEMEN Ildiko","HUN","F","Final","5"
"LEE William","SIN","M","Final","6"
"STRITT BURK Carmen","SUI","F","Final","7"
